CG001Qv40Run55,181128_M02558_0267_000000000-C5GNB
CG001Qv40Run56,181130_M03829_0180_000000000-C6MPY
CG001Qv40Run57,181203_M02558_0269_000000000-C5GG5
CG001Qv40Run58,181203_M03829_0181_000000000-C6M8R
CG001Qv40Run60,181204_M02558_0271_000000000-C6MJC
CG001Qv40Run47,181121_M02558_0264_000000000-C5GGT
CG001Qv40Run31,181018_M03829_0168_000000000-C4YCP
CG001Qv40Run137,191024_M02558_0334_000000000-CM9MH
CG001Qv40Run138,191024_M03829_0259_000000000-CLVRT
CG001Qv40Run142,191104_M02558_0335_000000000-CN66N
CG001Qv40Run149,191129_M03829_0273_000000000-CN94V
CG001Qv40Run198,200724_M02558_0382_000000000-J6WC6
CG001Qv40Run199,200729_M03829_0340_000000000-J6PLW
CG001Qv42Run255,210105_M03829_0392_000000000-JDJMF
CG001Qv42Run256,210106_M03829_0393_000000000-JFVRG
CG001Qv42Run260,210118_M02558_0435_000000000-JGL96
CG001Qv42Run266,210114_M02558_0434_000000000-JFLR3
CG001Qv42Run269,210121_M02558_0437_000000000-JGGD9
CG001Qv42Run270,210122_M02558_0438_000000000-JFLRB
