CG001Qv51Run025,200925_M03829_0360_000000000-JB8RF
CG001Qv51Run026,200928_M02558_0402_000000000-JB8BD
CG001Qv51Run051,210121_M03829_0399_000000000-JGLJ8
CG001Qv51Run052,210125_M02558_0439_000000000-JFMCN
CG001Qv51Run053,210129_M03829_0403_000000000-JFNC7
CG001Qv51Run039,201022_M02558_0412_000000000-JBTYH
CG001Qv51Run059,210204_M02558_0444_000000000-JGLDF
CG001Qv51Run061,210217_M02558_0448_JHG7F
