LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
2.0	0.6	0.5	43	2	106	1	10	0.796	0.981	0.92	0.956	0.796	0.869	0.044
2.0	0.6	0.4	46	2	106	1	7	0.852	0.981	0.938	0.958	0.852	0.902	0.042
2.0	0.7	0.7	45	2	106	1	8	0.833	0.981	0.932	0.957	0.833	0.891	0.043
2.0	0.6	0.0	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.6	0.1	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.6	0.2	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.7	0.3	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.7	0.4	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.7	0.5	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.8	0.8	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.9	1.0	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.5	0.2	45	2	106	1	8	0.833	0.981	0.932	0.957	0.833	0.891	0.043
2.0	0.5	0.3	42	1	107	1	11	0.778	0.991	0.92	0.977	0.778	0.866	0.023
2.0	0.5	0.0	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.5	0.1	46	2	106	1	7	0.852	0.981	0.938	0.958	0.852	0.902	0.042
2.0	0.6	0.3	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.8	0.7	47	2	106	1	6	0.87	0.981	0.944	0.959	0.87	0.912	0.041
2.0	0.4	0.0	43	1	107	1	10	0.796	0.991	0.926	0.977	0.796	0.877	0.023
