ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.7	1.0	>=0.1_0.125	208	676	20504	242	30	212	0.462	0.968	0.958	0.43	0.235	0.462	0.312	0.765	0.447
4.0_64.0	0.7	0.9	>=0.1_0.125	216	716	20464	234	30	204	0.48	0.966	0.956	0.446	0.232	0.48	0.313	0.768	0.466
4.0_64.0	0.7	0.8	>=0.1_0.125	227	748	20432	223	30	193	0.504	0.965	0.955	0.469	0.233	0.504	0.319	0.767	0.489
4.0_64.0	0.7	0.7	>=0.1_0.125	243	785	20395	207	30	177	0.54	0.963	0.954	0.503	0.236	0.54	0.328	0.764	0.524
4.0_64.0	0.7	0.6	>=0.1_0.125	251	844	20336	199	30	169	0.558	0.96	0.952	0.518	0.229	0.558	0.325	0.771	0.542
4.0_64.0	0.7	0.5	>=0.1_0.125	262	896	20284	188	30	158	0.582	0.958	0.95	0.54	0.226	0.582	0.326	0.774	0.566
4.0_64.0	0.8	1.0	>=0.1_0.125	246	881	20299	204	30	174	0.547	0.958	0.95	0.505	0.218	0.547	0.312	0.782	0.53
4.0_64.0	0.7	0.4	>=0.1_0.125	272	935	20245	178	30	148	0.604	0.956	0.949	0.56	0.225	0.604	0.328	0.775	0.585
4.0_64.0	0.8	0.9	>=0.1_0.125	253	933	20247	197	30	167	0.562	0.956	0.948	0.518	0.213	0.562	0.309	0.787	0.545
4.0_64.0	0.8	0.8	>=0.1_0.125	263	967	20213	187	30	157	0.584	0.954	0.947	0.538	0.214	0.584	0.313	0.786	0.566
4.0_64.0	0.7	1.0	>=0.25    	183	63	6039	192	14	178	0.488	0.99	0.961	0.478	0.744	0.488	0.589	0.256	0.478
4.0_64.0	0.7	0.8	>=0.25    	199	70	6032	176	14	162	0.531	0.989	0.962	0.52	0.74	0.531	0.618	0.26	0.522
