ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.7	0.9	>=0.25    	190	68	6034	185	14	171	0.507	0.989	0.961	0.496	0.736	0.507	0.6	0.264	0.498
4.0_64.0	0.7	0.7	>=0.25    	213	75	6027	162	14	148	0.568	0.988	0.963	0.556	0.74	0.568	0.643	0.26	0.559
4.0_64.0	0.7	0.6	>=0.25    	221	79	6023	154	14	140	0.589	0.987	0.964	0.576	0.737	0.589	0.655	0.263	0.581
4.0_64.0	0.8	1.0	>=0.25    	215	82	6020	160	14	146	0.573	0.987	0.963	0.56	0.724	0.573	0.64	0.276	0.564
4.0_64.0	0.7	0.5	>=0.25    	229	89	6013	146	14	132	0.611	0.985	0.964	0.596	0.72	0.611	0.661	0.28	0.601
4.0_64.0	0.8	0.9	>=0.25    	221	92	6010	154	14	140	0.589	0.985	0.962	0.574	0.706	0.589	0.642	0.294	0.58
4.0_64.0	0.7	0.3	>=0.25    	251	100	6002	124	14	110	0.669	0.984	0.965	0.653	0.715	0.669	0.691	0.285	0.657
4.0_64.0	0.7	0.4	>=0.25    	239	95	6007	136	14	122	0.637	0.984	0.964	0.621	0.716	0.637	0.674	0.284	0.625
4.0_64.0	0.7	0.4	>=0.375   	205	5	1590	95	4	91	0.683	0.997	0.947	0.68	0.976	0.683	0.804	0.024	0.674
4.0_64.0	0.7	0.5	>=0.375   	196	4	1591	104	4	100	0.653	0.997	0.943	0.65	0.98	0.653	0.784	0.02	0.646
4.0_64.0	0.7	0.6	>=0.375   	189	4	1591	111	4	107	0.63	0.997	0.939	0.627	0.979	0.63	0.767	0.021	0.624
4.0_64.0	0.7	0.7	>=0.375   	182	4	1591	118	4	114	0.607	0.997	0.936	0.604	0.978	0.607	0.749	0.022	0.599
4.0_64.0	0.7	0.8	>=0.375   	171	4	1591	129	4	125	0.57	0.997	0.93	0.567	0.977	0.57	0.72	0.023	0.562
4.0_64.0	0.7	0.9	>=0.375   	162	4	1591	138	4	134	0.54	0.997	0.925	0.537	0.976	0.54	0.695	0.024	0.532
4.0_64.0	0.7	1.0	>=0.375   	155	4	1591	145	4	141	0.517	0.997	0.921	0.514	0.975	0.517	0.676	0.025	0.508
4.0_64.0	0.8	0.8	>=0.375   	198	5	1590	102	4	98	0.66	0.997	0.944	0.657	0.975	0.66	0.787	0.025	0.652
4.0_64.0	0.8	0.9	>=0.375   	190	4	1591	110	4	106	0.633	0.997	0.94	0.63	0.979	0.633	0.769	0.021	0.627
4.0_64.0	0.8	1.0	>=0.375   	184	4	1591	116	4	112	0.613	0.997	0.937	0.61	0.979	0.613	0.754	0.021	0.606
4.0_64.0	0.7	0.5	>=0.5     	162	1	1171	75	2	73	0.684	0.999	0.946	0.683	0.994	0.684	0.81	0.006	0.684
4.0_64.0	0.7	0.6	>=0.5     	156	1	1171	81	2	79	0.658	0.999	0.942	0.657	0.994	0.658	0.792	0.006	0.659
4.0_64.0	0.7	0.7	>=0.5     	151	1	1171	86	2	84	0.637	0.999	0.938	0.636	0.993	0.637	0.776	0.007	0.637
4.0_64.0	0.7	0.8	>=0.5     	142	1	1171	95	2	93	0.599	0.999	0.932	0.598	0.993	0.599	0.747	0.007	0.599
4.0_64.0	0.7	0.9	>=0.5     	135	1	1171	102	2	100	0.57	0.999	0.927	0.569	0.993	0.57	0.724	0.007	0.569
4.0_64.0	0.7	1.0	>=0.5     	130	1	1171	107	2	105	0.549	0.999	0.923	0.548	0.992	0.549	0.707	0.008	0.547
4.0_64.0	0.8	0.9	>=0.5     	157	1	1171	80	2	78	0.662	0.999	0.943	0.661	0.994	0.662	0.795	0.006	0.664
4.0_64.0	0.8	1.0	>=0.5     	152	1	1171	85	2	83	0.641	0.999	0.939	0.64	0.993	0.641	0.779	0.007	0.642
4.0_64.0	0.7	0.4	>=0.5     	171	2	1170	66	2	64	0.722	0.998	0.952	0.72	0.988	0.722	0.834	0.012	0.72
4.0_64.0	0.8	0.8	>=0.5     	164	2	1170	73	2	71	0.692	0.998	0.947	0.69	0.988	0.692	0.814	0.012	0.692
4.0_64.0	0.7	0.4	>=0.7_0.75	108	0	392	42	0	42	0.72	1.0	0.923	0.72	1.0	0.72	0.837	0.0	0.72
4.0_64.0	0.7	0.5	>=0.7_0.75	104	0	392	46	0	46	0.693	1.0	0.915	0.693	1.0	0.693	0.819	0.0	0.694
4.0_64.0	0.7	0.6	>=0.7_0.75	101	0	392	49	0	49	0.673	1.0	0.91	0.673	1.0	0.673	0.805	0.0	0.674
4.0_64.0	0.7	0.7	>=0.7_0.75	96	0	392	54	0	54	0.64	1.0	0.9	0.64	1.0	0.64	0.78	0.0	0.64
4.0_64.0	0.7	0.8	>=0.7_0.75	90	0	392	60	0	60	0.6	1.0	0.889	0.6	1.0	0.6	0.75	0.0	0.6
4.0_64.0	0.7	0.9	>=0.7_0.75	85	0	392	65	0	65	0.567	1.0	0.88	0.567	1.0	0.567	0.724	0.0	0.567
4.0_64.0	0.7	1.0	>=0.7_0.75	81	0	392	69	0	69	0.54	1.0	0.873	0.54	1.0	0.54	0.701	0.0	0.54
4.0_64.0	0.8	0.8	>=0.7_0.75	105	0	392	45	0	45	0.7	1.0	0.917	0.7	1.0	0.7	0.824	0.0	0.7
4.0_64.0	0.8	0.9	>=0.7_0.75	102	0	392	48	0	48	0.68	1.0	0.911	0.68	1.0	0.68	0.81	0.0	0.68
4.0_64.0	0.8	1.0	>=0.7_0.75	97	0	392	53	0	53	0.647	1.0	0.902	0.647	1.0	0.647	0.786	0.0	0.647
4.0_64.0	0.7	0.4	>=1.0     	55	0	137	20	0	20	0.733	1.0	0.906	0.733	1.0	0.733	0.846	0.0	0.733
4.0_64.0	0.7	0.5	>=1.0     	53	0	137	22	0	22	0.707	1.0	0.896	0.707	1.0	0.707	0.828	0.0	0.707
4.0_64.0	0.7	0.6	>=1.0     	53	0	137	22	0	22	0.707	1.0	0.896	0.707	1.0	0.707	0.828	0.0	0.707
4.0_64.0	0.7	0.7	>=1.0     	51	0	137	24	0	24	0.68	1.0	0.887	0.68	1.0	0.68	0.81	0.0	0.68
4.0_64.0	0.7	0.8	>=1.0     	46	0	137	29	0	29	0.613	1.0	0.863	0.613	1.0	0.613	0.76	0.0	0.613
4.0_64.0	0.7	0.9	>=1.0     	44	0	137	31	0	31	0.587	1.0	0.854	0.587	1.0	0.587	0.74	0.0	0.587
4.0_64.0	0.7	1.0	>=1.0     	42	0	137	33	0	33	0.56	1.0	0.844	0.56	1.0	0.56	0.718	0.0	0.56
4.0_64.0	0.8	0.8	>=1.0     	54	0	137	21	0	21	0.72	1.0	0.901	0.72	1.0	0.72	0.837	0.0	0.72
4.0_64.0	0.8	0.9	>=1.0     	53	0	137	22	0	22	0.707	1.0	0.896	0.707	1.0	0.707	0.828	0.0	0.707
4.0_64.0	0.8	1.0	>=1.0     	50	0	137	25	0	25	0.667	1.0	0.882	0.667	1.0	0.667	0.8	0.0	0.667
