LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.6	0.5	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
0.1	0.6	0.4	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
0.1	0.7	0.7	15	19	193	2	15	0.469	0.91	0.852	0.441	0.469	0.455	0.559
0.1	0.6	0.0	16	19	193	2	14	0.5	0.91	0.857	0.457	0.5	0.478	0.543
0.1	0.6	0.1	16	19	193	2	14	0.5	0.91	0.857	0.457	0.5	0.478	0.543
0.1	0.6	0.2	16	19	193	2	14	0.5	0.91	0.857	0.457	0.5	0.478	0.543
0.1	0.7	0.3	16	21	191	2	14	0.5	0.901	0.848	0.432	0.5	0.464	0.568
0.1	0.7	0.4	16	21	191	2	14	0.5	0.901	0.848	0.432	0.5	0.464	0.568
0.1	0.7	0.5	16	20	192	2	14	0.5	0.906	0.852	0.444	0.5	0.47	0.556
0.1	0.8	0.8	16	21	191	2	14	0.5	0.901	0.848	0.432	0.5	0.464	0.568
0.1	0.9	1.0	16	21	191	2	14	0.5	0.901	0.848	0.432	0.5	0.464	0.568
0.1	0.5	0.2	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
0.1	0.5	0.3	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
0.1	0.5	0.0	16	17	195	2	14	0.5	0.92	0.865	0.485	0.5	0.492	0.515
0.1	0.5	0.1	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
0.1	0.6	0.3	15	18	194	2	15	0.469	0.915	0.857	0.455	0.469	0.462	0.545
0.1	0.8	0.7	16	21	191	2	14	0.5	0.901	0.848	0.432	0.5	0.464	0.568
0.1	0.4	0.0	15	17	195	2	15	0.469	0.92	0.861	0.469	0.469	0.469	0.531
