LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
2.0	0.1	0.0	1	0	64	0	31	0.031	1.0	0.677	1.0	0.031	0.06	0.0
2.0	0.1	0.1	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.2	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.3	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.4	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.5	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.6	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.7	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.8	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	0.9	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.1	1.0	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.2	0.0	16	0	64	0	16	0.5	1.0	0.833	1.0	0.5	0.667	0.0
2.0	0.2	0.1	6	0	64	0	26	0.188	1.0	0.729	1.0	0.188	0.316	0.0
2.0	0.2	0.2	4	0	64	0	28	0.125	1.0	0.708	1.0	0.125	0.222	0.0
2.0	0.2	0.3	3	0	64	0	29	0.094	1.0	0.698	1.0	0.094	0.172	0.0
2.0	0.2	0.4	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.2	0.5	1	0	64	0	31	0.031	1.0	0.677	1.0	0.031	0.06	0.0
2.0	0.2	0.6	1	0	64	0	31	0.031	1.0	0.677	1.0	0.031	0.06	0.0
2.0	0.2	0.7	1	0	64	0	31	0.031	1.0	0.677	1.0	0.031	0.06	0.0
2.0	0.2	0.8	1	0	64	0	31	0.031	1.0	0.677	1.0	0.031	0.06	0.0
2.0	0.2	0.9	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.2	1.0	0	0	64	0	32	0.0	1.0	0.667	0.0	0.0	0.0	1.0
2.0	0.3	0.0	25	0	64	0	7	0.781	1.0	0.927	1.0	0.781	0.877	0.0
2.0	0.3	0.1	21	0	64	0	11	0.656	1.0	0.885	1.0	0.656	0.792	0.0
2.0	0.3	0.2	18	0	64	0	14	0.562	1.0	0.854	1.0	0.562	0.72	0.0
2.0	0.3	0.3	11	0	64	0	21	0.344	1.0	0.781	1.0	0.344	0.512	0.0
2.0	0.3	0.4	6	0	64	0	26	0.188	1.0	0.729	1.0	0.188	0.316	0.0
2.0	0.3	0.5	4	0	64	0	28	0.125	1.0	0.708	1.0	0.125	0.222	0.0
2.0	0.3	0.6	3	0	64	0	29	0.094	1.0	0.698	1.0	0.094	0.172	0.0
2.0	0.3	0.7	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.3	0.8	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.3	0.9	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.3	1.0	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.4	0.0	31	0	64	0	1	0.969	1.0	0.99	1.0	0.969	0.984	0.0
2.0	0.4	0.1	30	0	64	0	2	0.938	1.0	0.979	1.0	0.938	0.968	0.0
2.0	0.4	0.2	29	0	64	0	3	0.906	1.0	0.969	1.0	0.906	0.951	0.0
2.0	0.4	0.3	22	0	64	0	10	0.688	1.0	0.896	1.0	0.688	0.815	0.0
2.0	0.4	0.4	20	0	64	0	12	0.625	1.0	0.875	1.0	0.625	0.769	0.0
2.0	0.4	0.5	17	0	64	0	15	0.531	1.0	0.844	1.0	0.531	0.694	0.0
2.0	0.4	0.6	9	0	64	0	23	0.281	1.0	0.76	1.0	0.281	0.439	0.0
2.0	0.4	0.7	6	0	64	0	26	0.188	1.0	0.729	1.0	0.188	0.316	0.0
2.0	0.4	0.8	4	0	64	0	28	0.125	1.0	0.708	1.0	0.125	0.222	0.0
2.0	0.4	0.9	3	0	64	0	29	0.094	1.0	0.698	1.0	0.094	0.172	0.0
2.0	0.4	1.0	2	0	64	0	30	0.062	1.0	0.688	1.0	0.062	0.117	0.0
2.0	0.5	0.0	32	0	64	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
2.0	0.5	0.1	32	0	64	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
2.0	0.5	0.2	31	0	64	0	1	0.969	1.0	0.99	1.0	0.969	0.984	0.0
