LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.1	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.2	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.3	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.4	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.5	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.1	0.8	1	0	183	15	16	0.03	1.0	0.86	1.0	0.03	0.06	0.0
0.1	0.1	0.9	1	0	183	15	16	0.03	1.0	0.86	1.0	0.03	0.06	0.0
0.1	0.1	1.0	2	0	183	15	15	0.06	1.0	0.86	1.0	0.06	0.11	0.0
0.1	0.2	0.0	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.2	0.1	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.2	0.2	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.2	0.3	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.2	0.4	0	0	183	15	17	0.0	1.0	0.85	0.0	0.0	0.0	1.0
0.1	0.2	0.5	1	0	183	15	16	0.03	1.0	0.86	1.0	0.03	0.06	0.0
0.1	0.2	0.6	2	0	183	15	15	0.06	1.0	0.86	1.0	0.06	0.11	0.0
0.1	0.2	0.7	3	0	183	15	14	0.09	1.0	0.87	1.0	0.09	0.17	0.0
0.1	0.2	0.8	3	0	183	15	14	0.09	1.0	0.87	1.0	0.09	0.17	0.0
0.1	0.2	0.9	6	0	183	15	11	0.19	1.0	0.88	1.0	0.19	0.32	0.0
0.1	0.2	1.0	6	0	183	15	11	0.19	1.0	0.88	1.0	0.19	0.32	0.0
0.1	0.3	0.0	3	0	183	15	14	0.09	1.0	0.87	1.0	0.09	0.17	0.0
0.1	0.3	0.1	3	0	183	15	14	0.09	1.0	0.87	1.0	0.09	0.17	0.0
0.1	0.3	0.2	3	0	183	15	14	0.09	1.0	0.87	1.0	0.09	0.17	0.0
0.1	0.3	0.3	4	0	183	15	13	0.12	1.0	0.87	1.0	0.12	0.21	0.0
0.1	0.3	0.4	5	0	183	15	12	0.16	1.0	0.87	1.0	0.16	0.28	0.0
0.1	0.3	0.5	5	0	183	15	12	0.16	1.0	0.87	1.0	0.16	0.28	0.0
0.1	0.3	0.6	8	0	183	15	9	0.25	1.0	0.89	1.0	0.25	0.4	0.0
0.1	0.3	0.7	8	0	183	15	9	0.25	1.0	0.89	1.0	0.25	0.4	0.0
0.1	0.3	0.8	9	0	183	15	8	0.28	1.0	0.89	1.0	0.28	0.44	0.0
0.1	0.3	0.9	10	1	182	15	7	0.31	0.99	0.89	0.91	0.31	0.46	0.09
0.1	0.3	1.0	11	1	182	15	6	0.34	0.99	0.9	0.92	0.34	0.5	0.08
0.1	0.4	0.0	4	0	183	15	13	0.12	1.0	0.87	1.0	0.12	0.21	0.0
0.1	0.4	0.1	5	0	183	15	12	0.16	1.0	0.87	1.0	0.16	0.28	0.0
0.1	0.4	0.2	5	0	183	15	12	0.16	1.0	0.87	1.0	0.16	0.28	0.0
0.1	0.4	0.3	7	0	183	15	10	0.22	1.0	0.88	1.0	0.22	0.36	0.0
0.1	0.4	0.4	9	0	183	15	8	0.28	1.0	0.89	1.0	0.28	0.44	0.0
0.1	0.4	0.5	10	0	183	15	7	0.31	1.0	0.9	1.0	0.31	0.47	0.0
0.1	0.4	0.6	10	0	183	15	7	0.31	1.0	0.9	1.0	0.31	0.47	0.0
0.1	0.4	0.7	11	1	182	15	6	0.34	0.99	0.9	0.92	0.34	0.5	0.08
0.1	0.4	0.8	12	1	182	15	5	0.38	0.99	0.9	0.92	0.38	0.54	0.08
0.1	0.4	0.9	14	2	181	15	3	0.44	0.99	0.91	0.88	0.44	0.59	0.12
0.1	0.4	1.0	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.5	0.0	7	0	183	15	10	0.22	1.0	0.88	1.0	0.22	0.36	0.0
0.1	0.5	0.1	9	0	183	15	8	0.28	1.0	0.89	1.0	0.28	0.44	0.0
0.1	0.5	0.2	10	0	183	15	7	0.31	1.0	0.9	1.0	0.31	0.47	0.0
0.1	0.5	0.3	11	0	183	15	6	0.34	1.0	0.9	1.0	0.34	0.51	0.0
0.1	0.5	0.4	11	1	182	15	6	0.34	0.99	0.9	0.92	0.34	0.5	0.08
0.1	0.5	0.5	12	1	182	15	5	0.38	0.99	0.9	0.92	0.38	0.54	0.08
0.1	0.5	0.6	14	2	181	15	3	0.44	0.99	0.91	0.88	0.44	0.59	0.12
0.1	0.5	0.7	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.5	0.8	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.5	0.9	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.5	1.0	16	3	180	15	1	0.5	0.98	0.91	0.84	0.5	0.63	0.16
0.1	0.6	0.0	11	0	183	15	6	0.34	1.0	0.9	1.0	0.34	0.51	0.0
0.1	0.6	0.1	11	0	183	15	6	0.34	1.0	0.9	1.0	0.34	0.51	0.0
0.1	0.6	0.2	12	2	181	15	5	0.38	0.99	0.9	0.86	0.38	0.53	0.14
0.1	0.6	0.3	12	2	181	15	5	0.38	0.99	0.9	0.86	0.38	0.53	0.14
0.1	0.6	0.4	14	2	181	15	3	0.44	0.99	0.91	0.88	0.44	0.59	0.12
0.1	0.6	0.5	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.6	0.6	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.6	0.7	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.6	0.8	16	3	180	15	1	0.5	0.98	0.91	0.84	0.5	0.63	0.16
0.1	0.6	0.9	16	3	180	15	1	0.5	0.98	0.91	0.84	0.5	0.63	0.16
0.1	0.6	1.0	16	3	180	15	1	0.5	0.98	0.91	0.84	0.5	0.63	0.16
0.1	0.7	0.0	12	2	181	15	5	0.38	0.99	0.9	0.86	0.38	0.53	0.14
0.1	0.7	0.1	14	2	181	15	3	0.44	0.99	0.91	0.88	0.44	0.59	0.12
0.1	0.7	0.2	15	2	181	15	2	0.47	0.99	0.91	0.88	0.47	0.61	0.12
0.1	0.7	0.3	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.7	0.4	15	3	180	15	2	0.47	0.98	0.91	0.83	0.47	0.6	0.17
0.1	0.7	0.5	16	4	179	15	1	0.5	0.98	0.91	0.8	0.5	0.62	0.2
0.1	0.7	0.6	16	4	179	15	1	0.5	0.98	0.91	0.8	0.5	0.62	0.2
