ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.2	0.4	0.375     	48	18	405	15	2	13	0.762	0.957	0.932	0.719	0.727	0.762	0.744	0.273	0.719
4.0_64.0	1.4	1.0	0.375     	48	18	405	15	2	13	0.762	0.957	0.932	0.719	0.727	0.762	0.744	0.273	0.719
4.0_64.0	1.0	0.2	0.375     	47	13	410	16	2	14	0.746	0.969	0.94	0.715	0.783	0.746	0.764	0.217	0.715
4.0_64.0	1.1	0.4	0.375     	47	13	410	16	2	14	0.746	0.969	0.94	0.715	0.783	0.746	0.764	0.217	0.715
4.0_64.0	1.1	0.5	0.375     	47	13	410	16	2	14	0.746	0.969	0.94	0.715	0.783	0.746	0.764	0.217	0.715
4.0_64.0	1.2	0.7	0.375     	47	13	410	16	2	14	0.746	0.969	0.94	0.715	0.783	0.746	0.764	0.217	0.715
4.0_64.0	1.2	0.8	0.375     	47	13	410	16	2	14	0.746	0.969	0.94	0.715	0.783	0.746	0.764	0.217	0.715
4.0_64.0	1.2	0.9	0.5       	70	10	770	17	2	15	0.805	0.987	0.969	0.792	0.875	0.805	0.839	0.125	0.792
4.0_64.0	1.3	0.8	0.5       	72	31	749	15	2	13	0.828	0.96	0.947	0.788	0.699	0.828	0.758	0.301	0.788
4.0_64.0	1.4	1.0	0.5       	72	33	747	15	2	13	0.828	0.958	0.945	0.786	0.686	0.828	0.75	0.314	0.786
4.0_64.0	1.4	0.9	0.5       	73	42	738	14	2	12	0.839	0.946	0.935	0.785	0.635	0.839	0.723	0.365	0.785
4.0_64.0	1.2	0.5	0.5       	72	34	746	15	2	13	0.828	0.956	0.943	0.784	0.679	0.828	0.746	0.321	0.784
4.0_64.0	1.2	0.8	0.5       	70	16	764	17	2	15	0.805	0.979	0.962	0.784	0.814	0.805	0.809	0.186	0.784
4.0_64.0	1.1	0.2	0.5       	72	36	744	15	2	13	0.828	0.954	0.941	0.782	0.667	0.828	0.739	0.333	0.782
4.0_64.0	1.1	0.6	0.5       	69	11	769	18	2	16	0.793	0.986	0.967	0.779	0.863	0.793	0.827	0.137	0.779
4.0_64.0	1.3	0.7	0.5       	72	38	742	15	2	13	0.828	0.951	0.939	0.779	0.655	0.828	0.731	0.345	0.779
4.0_64.0	1.3	1.0	0.5       	70	20	760	17	2	15	0.805	0.974	0.957	0.779	0.778	0.805	0.791	0.222	0.779
4.0_64.0	1.5	0.6	0.7_0.75  	72	21	234	3	0	3	0.96	0.918	0.927	0.878	0.774	0.96	0.857	0.226	0.878
4.0_64.0	1.4	0.3	0.7_0.75  	72	23	232	3	0	3	0.96	0.91	0.921	0.87	0.758	0.96	0.847	0.242	0.87
4.0_64.0	1.3	0.1	0.7_0.75  	71	21	234	4	0	4	0.947	0.918	0.924	0.865	0.772	0.947	0.851	0.228	0.865
4.0_64.0	1.3	0.0	0.7_0.75  	72	25	230	3	0	3	0.96	0.902	0.915	0.862	0.742	0.96	0.837	0.258	0.862
4.0_64.0	1.5	0.5	0.7_0.75  	72	25	230	3	0	3	0.96	0.902	0.915	0.862	0.742	0.96	0.837	0.258	0.862
4.0_64.0	1.2	0.0	0.7_0.75  	69	15	240	6	0	6	0.92	0.941	0.936	0.861	0.821	0.92	0.868	0.179	0.861
4.0_64.0	1.2	0.2	0.7_0.75  	67	9	246	8	0	8	0.893	0.965	0.948	0.858	0.882	0.893	0.887	0.118	0.858
4.0_64.0	1.4	0.5	0.7_0.75  	69	16	239	6	0	6	0.92	0.937	0.933	0.857	0.812	0.92	0.863	0.188	0.857
4.0_64.0	1.3	0.2	0.7_0.75  	69	17	238	6	0	6	0.92	0.933	0.93	0.853	0.802	0.92	0.857	0.198	0.853
4.0_64.0	1.5	0.7	0.7_0.75  	69	17	238	6	0	6	0.92	0.933	0.93	0.853	0.802	0.92	0.857	0.198	0.853
4.0_64.0	1.3	0.2	1.0       	72	8	129	3	0	3	0.96	0.942	0.948	0.902	0.9	0.96	0.929	0.1	0.902
4.0_64.0	1.3	0.1	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.4	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.5	0.7	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.2	1.0       	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.5	0.5	1.0       	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.2	0.0	1.0       	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.5	1.0       	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.3	1.0       	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
4.0_64.0	1.5	0.6	1.0       	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
