ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.9	0.1	0.1_0.125 	40	1457	13621	35	16	19	0.533	0.903	0.902	0.436	0.027	0.533	0.051	0.973	0.436
4.0_64.0	1.0	0.2	0.1_0.125 	41	1734	13344	34	16	18	0.547	0.885	0.883	0.432	0.023	0.547	0.044	0.977	0.432
4.0_64.0	0.8	0.2	0.1_0.125 	38	1142	13936	37	16	21	0.507	0.924	0.922	0.431	0.032	0.507	0.06	0.968	0.431
4.0_64.0	0.9	0.0	0.1_0.125 	40	1549	13529	35	16	19	0.533	0.897	0.895	0.43	0.025	0.533	0.048	0.975	0.43
4.0_64.0	0.7	0.1	0.1_0.125 	37	962	14116	38	16	22	0.493	0.936	0.934	0.429	0.037	0.493	0.069	0.963	0.429
4.0_64.0	0.9	0.2	0.1_0.125 	39	1392	13686	36	16	20	0.52	0.908	0.906	0.428	0.027	0.52	0.051	0.973	0.428
4.0_64.0	1.0	0.4	0.1_0.125 	40	1580	13498	35	16	19	0.533	0.895	0.893	0.428	0.025	0.533	0.048	0.975	0.428
4.0_64.0	0.8	0.1	0.1_0.125 	38	1200	13878	37	16	21	0.507	0.92	0.918	0.427	0.031	0.507	0.058	0.969	0.427
4.0_64.0	1.0	0.1	0.1_0.125 	41	1815	13263	34	16	18	0.547	0.88	0.878	0.427	0.022	0.547	0.042	0.978	0.427
4.0_64.0	0.9	0.5	0.1_0.125 	38	1219	13859	37	16	21	0.507	0.919	0.917	0.426	0.03	0.507	0.057	0.97	0.426
4.0_64.0	1.0	0.1	0.25      	49	315	4192	26	10	16	0.653	0.93	0.926	0.583	0.135	0.653	0.224	0.865	0.583
4.0_64.0	1.1	0.4	0.25      	49	328	4179	26	10	16	0.653	0.927	0.923	0.58	0.13	0.653	0.217	0.87	0.58
4.0_64.0	1.0	0.2	0.25      	48	281	4226	27	10	17	0.64	0.938	0.933	0.578	0.146	0.64	0.238	0.854	0.578
4.0_64.0	1.2	0.7	0.25      	49	338	4169	26	10	16	0.653	0.925	0.921	0.578	0.127	0.653	0.213	0.873	0.578
4.0_64.0	1.0	0.0	0.25      	49	349	4158	26	10	16	0.653	0.923	0.918	0.576	0.123	0.653	0.207	0.877	0.576
4.0_64.0	1.0	0.5	0.25      	47	228	4279	28	10	18	0.627	0.949	0.944	0.576	0.171	0.627	0.269	0.829	0.576
4.0_64.0	1.1	0.8	0.25      	47	235	4272	28	10	18	0.627	0.948	0.943	0.575	0.167	0.627	0.264	0.833	0.575
4.0_64.0	1.3	1.0	0.25      	49	356	4151	26	10	16	0.653	0.921	0.917	0.574	0.121	0.653	0.204	0.879	0.574
4.0_64.0	1.0	0.4	0.25      	47	242	4265	28	10	18	0.627	0.946	0.941	0.573	0.163	0.627	0.259	0.837	0.573
4.0_64.0	1.1	0.5	0.25      	48	300	4207	27	10	17	0.64	0.933	0.929	0.573	0.138	0.64	0.227	0.862	0.573
4.0_64.0	1.3	0.9	0.375     	48	14	409	15	2	13	0.762	0.967	0.94	0.729	0.774	0.762	0.768	0.226	0.729
4.0_64.0	1.3	0.7	0.375     	48	17	406	15	2	13	0.762	0.96	0.934	0.722	0.738	0.762	0.75	0.262	0.722
4.0_64.0	1.3	0.8	0.375     	48	17	406	15	2	13	0.762	0.96	0.934	0.722	0.738	0.762	0.75	0.262	0.722
