ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	0.8	0.2	0.1_0.125 	30	774	8948	20	7	13	0.6	0.92	0.919	0.52	0.037	0.6	0.07	0.963	0.52
8.0_64.0	1.0	0.2	0.1_0.125 	32	1165	8557	18	7	11	0.64	0.88	0.879	0.52	0.027	0.64	0.052	0.973	0.52
8.0_64.0	0.9	0.1	0.1_0.125 	31	992	8730	19	7	12	0.62	0.898	0.897	0.518	0.03	0.62	0.057	0.97	0.518
8.0_64.0	0.8	0.1	0.1_0.125 	30	815	8907	20	7	13	0.6	0.916	0.915	0.516	0.036	0.6	0.068	0.964	0.516
8.0_64.0	0.9	0.5	0.1_0.125 	30	825	8897	20	7	13	0.6	0.915	0.914	0.515	0.035	0.6	0.066	0.965	0.515
8.0_64.0	1.0	0.1	0.1_0.125 	32	1218	8504	18	7	11	0.64	0.875	0.874	0.515	0.026	0.64	0.05	0.974	0.515
8.0_64.0	0.7	0.1	0.1_0.125 	29	644	9078	21	7	14	0.58	0.934	0.932	0.514	0.043	0.58	0.08	0.957	0.514
8.0_64.0	1.1	0.5	0.1_0.125 	32	1222	8500	18	7	11	0.64	0.874	0.873	0.514	0.026	0.64	0.05	0.974	0.514
8.0_64.0	0.8	0.0	0.1_0.125 	30	857	8865	20	7	13	0.6	0.912	0.91	0.512	0.034	0.6	0.064	0.966	0.512
8.0_64.0	0.9	0.0	0.1_0.125 	31	1051	8671	19	7	12	0.62	0.892	0.891	0.512	0.029	0.62	0.055	0.971	0.512
8.0_64.0	1.0	0.2	0.25      	38	158	2419	12	3	9	0.76	0.939	0.935	0.699	0.194	0.76	0.309	0.806	0.699
8.0_64.0	1.2	0.8	0.25      	38	170	2407	12	3	9	0.76	0.934	0.931	0.694	0.183	0.76	0.295	0.817	0.694
8.0_64.0	1.0	0.5	0.25      	37	122	2455	13	3	10	0.74	0.953	0.949	0.693	0.233	0.74	0.354	0.767	0.693
8.0_64.0	1.1	0.5	0.25      	38	172	2405	12	3	9	0.76	0.933	0.93	0.693	0.181	0.76	0.292	0.819	0.693
8.0_64.0	1.0	0.1	0.25      	38	178	2399	12	3	9	0.76	0.931	0.928	0.691	0.176	0.76	0.286	0.824	0.691
8.0_64.0	1.1	0.8	0.25      	37	128	2449	13	3	10	0.74	0.95	0.946	0.69	0.224	0.74	0.344	0.776	0.69
8.0_64.0	1.0	0.4	0.25      	37	131	2446	13	3	10	0.74	0.949	0.945	0.689	0.22	0.74	0.339	0.78	0.689
8.0_64.0	1.1	0.4	0.25      	38	187	2390	12	3	9	0.76	0.927	0.924	0.687	0.169	0.76	0.277	0.831	0.687
8.0_64.0	1.1	0.7	0.25      	37	136	2441	13	3	10	0.74	0.947	0.943	0.687	0.214	0.74	0.332	0.786	0.687
8.0_64.0	0.9	0.0	0.25      	37	142	2435	13	3	10	0.74	0.945	0.941	0.685	0.207	0.74	0.324	0.793	0.685
8.0_64.0	1.3	0.9	0.375     	34	9	228	8	1	7	0.81	0.962	0.939	0.772	0.791	0.81	0.8	0.209	0.772
8.0_64.0	1.3	0.7	0.375     	34	11	226	8	1	7	0.81	0.954	0.932	0.764	0.756	0.81	0.782	0.244	0.764
8.0_64.0	1.3	0.8	0.375     	34	11	226	8	1	7	0.81	0.954	0.932	0.764	0.756	0.81	0.782	0.244	0.764
8.0_64.0	1.4	1.0	0.375     	34	11	226	8	1	7	0.81	0.954	0.932	0.764	0.756	0.81	0.782	0.244	0.764
8.0_64.0	1.2	0.4	0.375     	34	12	225	8	1	7	0.81	0.949	0.928	0.759	0.739	0.81	0.773	0.261	0.759
8.0_64.0	1.3	0.6	0.375     	34	13	224	8	1	7	0.81	0.945	0.925	0.755	0.723	0.81	0.764	0.277	0.755
8.0_64.0	1.4	0.9	0.375     	34	13	224	8	1	7	0.81	0.945	0.925	0.755	0.723	0.81	0.764	0.277	0.755
8.0_64.0	1.0	0.2	0.375     	33	8	229	9	1	8	0.786	0.966	0.939	0.752	0.805	0.786	0.795	0.195	0.752
8.0_64.0	1.1	0.4	0.375     	33	8	229	9	1	8	0.786	0.966	0.939	0.752	0.805	0.786	0.795	0.195	0.752
8.0_64.0	1.1	0.5	0.375     	33	8	229	9	1	8	0.786	0.966	0.939	0.752	0.805	0.786	0.795	0.195	0.752
8.0_64.0	1.2	0.5	0.5       	52	18	401	6	0	6	0.897	0.957	0.95	0.854	0.743	0.897	0.813	0.257	0.854
8.0_64.0	1.3	0.8	0.5       	52	18	401	6	0	6	0.897	0.957	0.95	0.854	0.743	0.897	0.813	0.257	0.854
8.0_64.0	1.2	0.9	0.5       	50	4	415	8	0	8	0.862	0.99	0.975	0.852	0.926	0.862	0.893	0.074	0.852
8.0_64.0	1.4	1.0	0.5       	52	19	400	6	0	6	0.897	0.955	0.948	0.852	0.732	0.897	0.806	0.268	0.852
8.0_64.0	1.1	0.2	0.5       	52	20	399	6	0	6	0.897	0.952	0.945	0.849	0.722	0.897	0.8	0.278	0.849
8.0_64.0	1.3	0.7	0.5       	52	21	398	6	0	6	0.897	0.95	0.943	0.847	0.712	0.897	0.794	0.288	0.847
8.0_64.0	1.2	0.8	0.5       	50	7	412	8	0	8	0.862	0.983	0.969	0.845	0.877	0.862	0.869	0.123	0.845
8.0_64.0	1.4	0.9	0.5       	52	24	395	6	0	6	0.897	0.943	0.937	0.84	0.684	0.897	0.776	0.316	0.84
8.0_64.0	1.3	1.0	0.5       	50	10	409	8	0	8	0.862	0.976	0.962	0.838	0.833	0.862	0.847	0.167	0.838
8.0_64.0	1.1	0.1	0.5       	52	25	394	6	0	6	0.897	0.94	0.935	0.837	0.675	0.897	0.77	0.325	0.837
8.0_64.0	1.5	0.6	0.7_0.75  	48	12	122	2	0	2	0.96	0.91	0.924	0.87	0.8	0.96	0.873	0.2	0.87
8.0_64.0	1.4	0.3	0.7_0.75  	48	13	121	2	0	2	0.96	0.903	0.918	0.863	0.787	0.96	0.865	0.213	0.863
8.0_64.0	1.2	0.0	0.7_0.75  	46	8	126	4	0	4	0.92	0.94	0.935	0.86	0.852	0.92	0.885	0.148	0.86
8.0_64.0	1.3	0.1	0.7_0.75  	47	12	122	3	0	3	0.94	0.91	0.918	0.85	0.797	0.94	0.863	0.203	0.85
8.0_64.0	1.3	0.0	0.7_0.75  	48	15	119	2	0	2	0.96	0.888	0.908	0.848	0.762	0.96	0.85	0.238	0.848
8.0_64.0	1.5	0.5	0.7_0.75  	48	15	119	2	0	2	0.96	0.888	0.908	0.848	0.762	0.96	0.85	0.238	0.848
8.0_64.0	1.3	0.2	0.7_0.75  	46	10	124	4	0	4	0.92	0.925	0.924	0.845	0.821	0.92	0.868	0.179	0.845
8.0_64.0	1.4	0.5	0.7_0.75  	46	10	124	4	0	4	0.92	0.925	0.924	0.845	0.821	0.92	0.868	0.179	0.845
8.0_64.0	1.1	0.0	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
8.0_64.0	1.2	0.2	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
8.0_64.0	1.2	0.0	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.3	0.2	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.4	0.5	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.3	0.1	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.4	0.4	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.5	0.7	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.5	0.8	1.0       	46	4	70	4	0	4	0.92	0.946	0.935	0.866	0.92	0.92	0.92	0.08	0.866
8.0_64.0	1.4	0.2	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.5	0.5	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.4	0.3	1.0       	47	6	68	3	0	3	0.94	0.919	0.927	0.859	0.887	0.94	0.913	0.113	0.859
