LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.75	0.6	0.5	72	34	442	14	32	0.61	0.929	0.865	0.679	0.61	0.643	0.321
0.75	0.6	0.4	74	36	440	14	30	0.627	0.924	0.865	0.673	0.627	0.649	0.327
0.75	0.7	0.7	74	35	441	14	30	0.627	0.926	0.867	0.679	0.627	0.652	0.321
0.75	0.6	0.0	78	47	429	14	26	0.661	0.901	0.854	0.624	0.661	0.642	0.376
0.75	0.6	0.1	78	44	432	14	26	0.661	0.908	0.859	0.639	0.661	0.65	0.361
0.75	0.6	0.2	78	40	436	14	26	0.661	0.916	0.865	0.661	0.661	0.661	0.339
0.75	0.7	0.3	78	46	430	14	26	0.661	0.903	0.855	0.629	0.661	0.645	0.371
0.75	0.7	0.4	78	43	433	14	26	0.661	0.91	0.86	0.645	0.661	0.653	0.355
0.75	0.7	0.5	78	40	436	14	26	0.661	0.916	0.865	0.661	0.661	0.661	0.339
0.75	0.8	0.8	75	40	436	14	29	0.636	0.916	0.86	0.652	0.636	0.644	0.348
0.75	0.9	1.0	78	41	435	14	26	0.661	0.914	0.864	0.655	0.661	0.658	0.345
0.75	0.5	0.2	72	35	441	14	32	0.61	0.926	0.864	0.673	0.61	0.64	0.327
0.75	0.5	0.3	71	31	445	14	33	0.602	0.935	0.869	0.696	0.602	0.646	0.304
0.75	0.5	0.0	76	40	436	14	28	0.644	0.916	0.862	0.655	0.644	0.649	0.345
0.75	0.5	0.1	75	37	439	14	29	0.636	0.922	0.865	0.67	0.636	0.653	0.33
0.75	0.6	0.3	75	38	438	14	29	0.636	0.92	0.864	0.664	0.636	0.65	0.336
0.75	0.8	0.7	78	41	435	14	26	0.661	0.914	0.864	0.655	0.661	0.658	0.345
0.75	0.4	0.0	71	29	447	14	33	0.602	0.939	0.872	0.71	0.602	0.652	0.29
