LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.75	0.1	0.0	10	0	251	0	42	0.192	1.0	0.861	1.0	0.192	0.322	0.0
0.75	0.1	0.1	5	0	251	0	47	0.096	1.0	0.845	1.0	0.096	0.175	0.0
0.75	0.1	0.2	3	0	251	0	49	0.058	1.0	0.838	1.0	0.058	0.11	0.0
0.75	0.1	0.3	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.4	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.5	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.6	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.7	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.8	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	0.9	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.1	1.0	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.2	0.0	24	0	251	0	28	0.462	1.0	0.908	1.0	0.462	0.632	0.0
0.75	0.2	0.1	19	0	251	0	33	0.365	1.0	0.891	1.0	0.365	0.535	0.0
0.75	0.2	0.2	12	0	251	0	40	0.231	1.0	0.868	1.0	0.231	0.375	0.0
0.75	0.2	0.3	10	0	251	0	42	0.192	1.0	0.861	1.0	0.192	0.322	0.0
0.75	0.2	0.4	7	0	251	0	45	0.135	1.0	0.851	1.0	0.135	0.238	0.0
0.75	0.2	0.5	5	0	251	0	47	0.096	1.0	0.845	1.0	0.096	0.175	0.0
0.75	0.2	0.6	1	0	251	0	51	0.019	1.0	0.832	1.0	0.019	0.037	0.0
0.75	0.2	0.7	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.2	0.8	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.2	0.9	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.2	1.0	0	0	251	0	52	0.0	1.0	0.828	0.0	0.0	0.0	1.0
0.75	0.3	0.0	39	2	249	0	13	0.75	0.992	0.95	0.951	0.75	0.839	0.049
0.75	0.3	0.1	37	0	251	0	15	0.712	1.0	0.95	1.0	0.712	0.832	0.0
0.75	0.3	0.2	31	0	251	0	21	0.596	1.0	0.931	1.0	0.596	0.747	0.0
0.75	0.3	0.3	25	0	251	0	27	0.481	1.0	0.911	1.0	0.481	0.65	0.0
0.75	0.3	0.4	17	0	251	0	35	0.327	1.0	0.884	1.0	0.327	0.493	0.0
0.75	0.3	0.5	14	0	251	0	38	0.269	1.0	0.875	1.0	0.269	0.424	0.0
0.75	0.3	0.6	11	0	251	0	41	0.212	1.0	0.865	1.0	0.212	0.35	0.0
0.75	0.3	0.7	7	0	251	0	45	0.135	1.0	0.851	1.0	0.135	0.238	0.0
0.75	0.3	0.8	4	0	251	0	48	0.077	1.0	0.842	1.0	0.077	0.143	0.0
0.75	0.3	0.9	3	0	251	0	49	0.058	1.0	0.838	1.0	0.058	0.11	0.0
0.75	0.3	1.0	3	0	251	0	49	0.058	1.0	0.838	1.0	0.058	0.11	0.0
0.75	0.4	0.0	46	3	248	0	6	0.885	0.988	0.97	0.939	0.885	0.911	0.061
0.75	0.4	0.1	46	2	249	0	6	0.885	0.992	0.974	0.958	0.885	0.92	0.042
0.75	0.4	0.2	42	2	249	0	10	0.808	0.992	0.96	0.955	0.808	0.875	0.045
0.75	0.4	0.3	39	1	250	0	13	0.75	0.996	0.954	0.975	0.75	0.848	0.025
0.75	0.4	0.4	33	0	251	0	19	0.635	1.0	0.937	1.0	0.635	0.777	0.0
0.75	0.4	0.5	31	0	251	0	21	0.596	1.0	0.931	1.0	0.596	0.747	0.0
0.75	0.4	0.6	24	0	251	0	28	0.462	1.0	0.908	1.0	0.462	0.632	0.0
0.75	0.4	0.7	18	0	251	0	34	0.346	1.0	0.888	1.0	0.346	0.514	0.0
0.75	0.4	0.8	12	0	251	0	40	0.231	1.0	0.868	1.0	0.231	0.375	0.0
0.75	0.4	0.9	9	0	251	0	43	0.173	1.0	0.858	1.0	0.173	0.295	0.0
0.75	0.4	1.0	8	0	251	0	44	0.154	1.0	0.855	1.0	0.154	0.267	0.0
0.75	0.5	0.0	47	4	247	0	5	0.904	0.984	0.97	0.922	0.904	0.913	0.078
0.75	0.5	0.1	47	3	248	0	5	0.904	0.988	0.974	0.94	0.904	0.922	0.06
0.75	0.5	0.2	46	3	248	0	6	0.885	0.988	0.97	0.939	0.885	0.911	0.061
0.75	0.5	0.3	46	3	248	0	6	0.885	0.988	0.97	0.939	0.885	0.911	0.061
0.75	0.5	0.4	46	3	248	0	6	0.885	0.988	0.97	0.939	0.885	0.911	0.061
0.75	0.5	0.5	41	2	249	0	11	0.788	0.992	0.957	0.953	0.788	0.863	0.047
0.75	0.5	0.6	38	1	250	0	14	0.731	0.996	0.95	0.974	0.731	0.835	0.026
0.75	0.5	0.7	33	0	251	0	19	0.635	1.0	0.937	1.0	0.635	0.777	0.0
