ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.0	0.2	>=0.1_0.125	236	1346	11817	64	11	53	0.787	0.898	0.895	0.685	0.149	0.787	0.251	0.851	0.739
8.0_64.0	0.9	0.0	>=0.1_0.125	232	1212	11951	68	11	57	0.773	0.908	0.905	0.681	0.161	0.773	0.266	0.839	0.731
8.0_64.0	1.0	0.3	>=0.1_0.125	233	1267	11896	67	11	56	0.777	0.904	0.901	0.681	0.155	0.777	0.258	0.845	0.734
8.0_64.0	1.1	0.5	>=0.1_0.125	236	1415	11748	64	11	53	0.787	0.893	0.89	0.68	0.143	0.787	0.242	0.857	0.738
8.0_64.0	1.0	0.1	>=0.1_0.125	236	1423	11740	64	11	53	0.787	0.892	0.89	0.679	0.142	0.787	0.241	0.858	0.735
8.0_64.0	1.2	0.8	>=0.1_0.125	237	1472	11691	63	11	52	0.79	0.888	0.886	0.678	0.139	0.79	0.236	0.861	0.739
8.0_64.0	1.1	0.4	>=0.1_0.125	237	1498	11665	63	11	52	0.79	0.886	0.884	0.676	0.137	0.79	0.234	0.863	0.736
8.0_64.0	1.1	0.6	>=0.1_0.125	233	1343	11820	67	11	56	0.777	0.898	0.895	0.675	0.148	0.777	0.249	0.852	0.732
8.0_64.0	0.9	0.1	>=0.1_0.125	228	1129	12034	72	11	61	0.76	0.914	0.911	0.674	0.168	0.76	0.275	0.832	0.723
8.0_64.0	1.0	0.5	>=0.1_0.125	228	1141	12022	72	11	61	0.76	0.913	0.91	0.673	0.167	0.76	0.274	0.833	0.728
8.0_64.0	1.2	0.8	>=0.25    	205	190	3251	45	4	41	0.82	0.945	0.936	0.765	0.519	0.82	0.636	0.481	0.785
8.0_64.0	1.0	0.2	>=0.25    	204	181	3260	46	4	42	0.816	0.947	0.938	0.763	0.53	0.816	0.643	0.47	0.783
8.0_64.0	1.0	0.3	>=0.25    	202	162	3279	48	4	44	0.808	0.953	0.943	0.761	0.555	0.808	0.658	0.445	0.779
8.0_64.0	1.2	0.9	>=0.25    	203	175	3266	47	4	43	0.812	0.949	0.94	0.761	0.537	0.812	0.646	0.463	0.783
8.0_64.0	1.1	0.5	>=0.25    	204	193	3248	46	4	42	0.816	0.944	0.935	0.76	0.514	0.816	0.631	0.486	0.783
8.0_64.0	1.1	0.6	>=0.25    	202	166	3275	48	4	44	0.808	0.952	0.942	0.76	0.549	0.808	0.654	0.451	0.779
8.0_64.0	1.1	0.4	>=0.25    	205	213	3228	45	4	41	0.82	0.938	0.93	0.758	0.49	0.82	0.613	0.51	0.781
8.0_64.0	0.9	0.0	>=0.25    	201	161	3280	49	4	45	0.804	0.953	0.943	0.757	0.555	0.804	0.657	0.445	0.775
8.0_64.0	1.0	0.1	>=0.25    	204	205	3236	46	4	42	0.816	0.94	0.932	0.756	0.499	0.816	0.619	0.501	0.779
8.0_64.0	1.1	0.8	>=0.25    	199	137	3304	51	4	47	0.796	0.96	0.949	0.756	0.592	0.796	0.679	0.408	0.775
8.0_64.0	1.2	0.9	>=0.375   	166	13	851	34	1	33	0.83	0.985	0.956	0.815	0.927	0.83	0.876	0.073	0.81
