LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	5	0	288	0	41	0.109	1.0	0.877	1.0	0.109	0.197	0.0
0.1	0.1	0.1	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.1	0.2	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.1	0.3	2	0	288	0	44	0.043	1.0	0.868	1.0	0.043	0.082	0.0
0.1	0.1	0.4	2	0	288	0	44	0.043	1.0	0.868	1.0	0.043	0.082	0.0
0.1	0.1	0.5	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.1	0.8	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.1	0.9	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.1	1.0	0	0	288	0	46	0.0	1.0	0.862	0.0	0.0	0.0	1.0
0.1	0.2	0.0	16	0	288	0	30	0.348	1.0	0.91	1.0	0.348	0.516	0.0
0.1	0.2	0.1	14	0	288	0	32	0.304	1.0	0.904	1.0	0.304	0.466	0.0
0.1	0.2	0.2	8	0	288	0	38	0.174	1.0	0.886	1.0	0.174	0.296	0.0
0.1	0.2	0.3	7	0	288	0	39	0.152	1.0	0.883	1.0	0.152	0.264	0.0
0.1	0.2	0.4	4	0	288	0	42	0.087	1.0	0.874	1.0	0.087	0.16	0.0
0.1	0.2	0.5	4	0	288	0	42	0.087	1.0	0.874	1.0	0.087	0.16	0.0
0.1	0.2	0.6	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.2	0.7	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.2	0.8	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.2	0.9	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.2	1.0	2	0	288	0	44	0.043	1.0	0.868	1.0	0.043	0.082	0.0
0.1	0.3	0.0	22	0	288	0	24	0.478	1.0	0.928	1.0	0.478	0.647	0.0
0.1	0.3	0.1	21	0	288	0	25	0.457	1.0	0.925	1.0	0.457	0.627	0.0
0.1	0.3	0.2	19	0	288	0	27	0.413	1.0	0.919	1.0	0.413	0.585	0.0
0.1	0.3	0.3	15	0	288	0	31	0.326	1.0	0.907	1.0	0.326	0.492	0.0
0.1	0.3	0.4	14	0	288	0	32	0.304	1.0	0.904	1.0	0.304	0.466	0.0
0.1	0.3	0.5	9	0	288	0	37	0.196	1.0	0.889	1.0	0.196	0.328	0.0
0.1	0.3	0.6	8	0	288	0	38	0.174	1.0	0.886	1.0	0.174	0.296	0.0
0.1	0.3	0.7	6	0	288	0	40	0.13	1.0	0.88	1.0	0.13	0.23	0.0
0.1	0.3	0.8	4	0	288	0	42	0.087	1.0	0.874	1.0	0.087	0.16	0.0
0.1	0.3	0.9	4	0	288	0	42	0.087	1.0	0.874	1.0	0.087	0.16	0.0
0.1	0.3	1.0	3	0	288	0	43	0.065	1.0	0.871	1.0	0.065	0.122	0.0
0.1	0.4	0.0	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.4	0.1	26	1	287	0	20	0.565	0.997	0.937	0.963	0.565	0.712	0.037
0.1	0.4	0.2	24	0	288	0	22	0.522	1.0	0.934	1.0	0.522	0.686	0.0
0.1	0.4	0.3	23	0	288	0	23	0.5	1.0	0.931	1.0	0.5	0.667	0.0
0.1	0.4	0.4	23	0	288	0	23	0.5	1.0	0.931	1.0	0.5	0.667	0.0
0.1	0.4	0.5	20	0	288	0	26	0.435	1.0	0.922	1.0	0.435	0.606	0.0
0.1	0.4	0.6	16	0	288	0	30	0.348	1.0	0.91	1.0	0.348	0.516	0.0
0.1	0.4	0.7	14	0	288	0	32	0.304	1.0	0.904	1.0	0.304	0.466	0.0
0.1	0.4	0.8	11	0	288	0	35	0.239	1.0	0.895	1.0	0.239	0.386	0.0
0.1	0.4	0.9	9	0	288	0	37	0.196	1.0	0.889	1.0	0.196	0.328	0.0
0.1	0.4	1.0	8	0	288	0	38	0.174	1.0	0.886	1.0	0.174	0.296	0.0
0.1	0.5	0.0	29	2	286	0	17	0.63	0.993	0.943	0.935	0.63	0.753	0.065
0.1	0.5	0.1	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.2	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.3	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.4	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.5	0.5	24	0	288	0	22	0.522	1.0	0.934	1.0	0.522	0.686	0.0
0.1	0.5	0.6	24	0	288	0	22	0.522	1.0	0.934	1.0	0.522	0.686	0.0
0.1	0.5	0.7	23	0	288	0	23	0.5	1.0	0.931	1.0	0.5	0.667	0.0
0.1	0.5	0.8	20	0	288	0	26	0.435	1.0	0.922	1.0	0.435	0.606	0.0
0.1	0.5	0.9	18	0	288	0	28	0.391	1.0	0.916	1.0	0.391	0.562	0.0
0.1	0.5	1.0	15	0	288	0	31	0.326	1.0	0.907	1.0	0.326	0.492	0.0
0.1	0.6	0.0	30	5	283	0	16	0.652	0.983	0.937	0.857	0.652	0.741	0.143
0.1	0.6	0.1	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.6	0.2	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.6	0.3	28	2	286	0	18	0.609	0.993	0.94	0.933	0.609	0.737	0.067
0.1	0.6	0.4	28	2	286	0	18	0.609	0.993	0.94	0.933	0.609	0.737	0.067
0.1	0.6	0.5	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.6	0.6	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.6	0.7	26	1	287	0	20	0.565	0.997	0.937	0.963	0.565	0.712	0.037
0.1	0.6	0.8	24	0	288	0	22	0.522	1.0	0.934	1.0	0.522	0.686	0.0
