vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_64.0	0.9	0.5	6	1146	11887	6	6	0	0.5	0.912	0.912	0.412	0.005	0.5	0.01	0.995
0.1_0.125 	8.0_64.0	0.9	0.5	5	784	7757	3	3	0	0.625	0.908	0.908	0.533	0.006	0.625	0.012	0.994
0.25      	4.0_64.0	0.9	0.5	6	50	1739	6	3	3	0.5	0.972	0.969	0.472	0.107	0.5	0.176	0.893
0.25      	8.0_64.0	0.9	0.5	5	23	1023	3	1	2	0.625	0.978	0.975	0.603	0.179	0.625	0.278	0.821
0.375     	4.0_64.0	0.9	0.5	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0
0.375     	8.0_64.0	0.9	0.5	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0
0.5       	4.0_64.0	0.9	0.5	20	2	485	4	1	3	0.833	0.996	0.988	0.829	0.909	0.833	0.869	0.091
0.5       	8.0_64.0	0.9	0.5	14	0	250	2	0	2	0.875	1.0	0.992	0.875	1.0	0.875	0.933	0.0
0.7_0.75  	4.0_64.0	0.9	0.5	10	0	103	2	0	2	0.833	1.0	0.983	0.833	1.0	0.833	0.909	0.0
0.7_0.75  	8.0_64.0	0.9	0.5	7	0	56	1	0	1	0.875	1.0	0.984	0.875	1.0	0.875	0.933	0.0
1.0       	4.0_64.0	0.9	0.5	11	0	64	1	0	1	0.917	1.0	0.987	0.917	1.0	0.917	0.957	0.0
1.0       	8.0_64.0	0.9	0.5	7	0	32	1	0	1	0.875	1.0	0.975	0.875	1.0	0.875	0.933	0.0
