LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
2.0	0.1	0.0	2	0	117	0	54	0.036	1.0	0.688	1.0	0.036	0.069	0.0
2.0	0.1	0.1	1	0	117	0	55	0.018	1.0	0.682	1.0	0.018	0.035	0.0
2.0	0.1	0.2	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.3	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.4	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.5	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.6	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.7	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.8	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	0.9	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.1	1.0	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.0	20	0	117	0	36	0.357	1.0	0.792	1.0	0.357	0.526	0.0
2.0	0.2	0.1	10	0	117	0	46	0.179	1.0	0.734	1.0	0.179	0.304	0.0
2.0	0.2	0.2	3	0	117	0	53	0.054	1.0	0.694	1.0	0.054	0.102	0.0
2.0	0.2	0.3	1	0	117	0	55	0.018	1.0	0.682	1.0	0.018	0.035	0.0
2.0	0.2	0.4	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.5	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.6	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.7	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.8	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	0.9	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.2	1.0	0	0	117	0	56	0.0	1.0	0.676	0.0	0.0	0.0	1.0
2.0	0.3	0.0	47	0	117	0	9	0.839	1.0	0.948	1.0	0.839	0.912	0.0
2.0	0.3	0.1	43	0	117	0	13	0.768	1.0	0.925	1.0	0.768	0.869	0.0
2.0	0.3	0.2	31	0	117	0	25	0.554	1.0	0.855	1.0	0.554	0.713	0.0
2.0	0.3	0.3	21	0	117	0	35	0.375	1.0	0.798	1.0	0.375	0.545	0.0
2.0	0.3	0.4	10	0	117	0	46	0.179	1.0	0.734	1.0	0.179	0.304	0.0
2.0	0.3	0.5	5	0	117	0	51	0.089	1.0	0.705	1.0	0.089	0.163	0.0
2.0	0.3	0.6	3	0	117	0	53	0.054	1.0	0.694	1.0	0.054	0.102	0.0
2.0	0.3	0.7	2	0	117	0	54	0.036	1.0	0.688	1.0	0.036	0.069	0.0
2.0	0.3	0.8	1	0	117	0	55	0.018	1.0	0.682	1.0	0.018	0.035	0.0
2.0	0.3	0.9	1	0	117	0	55	0.018	1.0	0.682	1.0	0.018	0.035	0.0
2.0	0.3	1.0	1	0	117	0	55	0.018	1.0	0.682	1.0	0.018	0.035	0.0
2.0	0.4	0.0	54	0	117	0	2	0.964	1.0	0.988	1.0	0.964	0.982	0.0
2.0	0.4	0.1	52	0	117	0	4	0.929	1.0	0.977	1.0	0.929	0.963	0.0
2.0	0.4	0.2	49	0	117	0	7	0.875	1.0	0.96	1.0	0.875	0.933	0.0
2.0	0.4	0.3	45	0	117	0	11	0.804	1.0	0.936	1.0	0.804	0.891	0.0
2.0	0.4	0.4	42	0	117	0	14	0.75	1.0	0.919	1.0	0.75	0.857	0.0
2.0	0.4	0.5	28	0	117	0	28	0.5	1.0	0.838	1.0	0.5	0.667	0.0
2.0	0.4	0.6	17	0	117	0	39	0.304	1.0	0.775	1.0	0.304	0.466	0.0
2.0	0.4	0.7	8	0	117	0	48	0.143	1.0	0.723	1.0	0.143	0.25	0.0
2.0	0.4	0.8	5	0	117	0	51	0.089	1.0	0.705	1.0	0.089	0.163	0.0
2.0	0.4	0.9	2	0	117	0	54	0.036	1.0	0.688	1.0	0.036	0.069	0.0
2.0	0.4	1.0	2	0	117	0	54	0.036	1.0	0.688	1.0	0.036	0.069	0.0
2.0	0.5	0.0	54	0	117	0	2	0.964	1.0	0.988	1.0	0.964	0.982	0.0
2.0	0.5	0.1	54	0	117	0	2	0.964	1.0	0.988	1.0	0.964	0.982	0.0
2.0	0.5	0.2	54	0	117	0	2	0.964	1.0	0.988	1.0	0.964	0.982	0.0
2.0	0.5	0.3	53	0	117	0	3	0.946	1.0	0.983	1.0	0.946	0.972	0.0
2.0	0.5	0.4	51	0	117	0	5	0.911	1.0	0.971	1.0	0.911	0.953	0.0
2.0	0.5	0.5	48	0	117	0	8	0.857	1.0	0.954	1.0	0.857	0.923	0.0
2.0	0.5	0.6	44	0	117	0	12	0.786	1.0	0.931	1.0	0.786	0.88	0.0
2.0	0.5	0.7	39	0	117	0	17	0.696	1.0	0.902	1.0	0.696	0.821	0.0
2.0	0.5	0.8	28	0	117	0	28	0.5	1.0	0.838	1.0	0.5	0.667	0.0
