ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.5	0.1	0.375     	38	44	193	4	1	3	0.905	0.814	0.828	0.719	0.463	0.905	0.613	0.537	0.719
8.0_64.0	1.4	0.0	0.375     	37	40	197	5	1	4	0.881	0.831	0.839	0.712	0.481	0.881	0.622	0.519	0.712
8.0_64.0	1.4	0.1	0.375     	37	37	200	5	1	4	0.881	0.844	0.849	0.725	0.5	0.881	0.638	0.5	0.725
8.0_64.0	1.4	0.2	0.375     	37	34	203	5	1	4	0.881	0.857	0.86	0.738	0.521	0.881	0.655	0.479	0.738
8.0_64.0	1.5	0.2	0.375     	37	41	196	5	1	4	0.881	0.827	0.835	0.708	0.474	0.881	0.616	0.526	0.708
8.0_64.0	1.5	0.3	0.375     	37	37	200	5	1	4	0.881	0.844	0.849	0.725	0.5	0.881	0.638	0.5	0.725
8.0_64.0	1.5	0.4	0.375     	37	36	201	5	1	4	0.881	0.848	0.853	0.729	0.507	0.881	0.644	0.493	0.729
8.0_64.0	1.5	0.5	0.375     	36	31	206	6	1	5	0.857	0.869	0.867	0.726	0.537	0.857	0.66	0.463	0.726
8.0_64.0	1.5	0.6	0.375     	36	27	210	6	1	5	0.857	0.886	0.882	0.743	0.571	0.857	0.685	0.429	0.743
8.0_64.0	1.5	0.0	0.5       	57	97	322	1	0	1	0.983	0.768	0.795	0.751	0.37	0.983	0.538	0.63	0.751
8.0_64.0	1.5	0.1	0.5       	57	95	324	1	0	1	0.983	0.773	0.799	0.756	0.375	0.983	0.543	0.625	0.756
8.0_64.0	1.5	0.2	0.5       	56	92	327	2	0	2	0.966	0.78	0.803	0.746	0.378	0.966	0.543	0.622	0.746
8.0_64.0	1.4	0.0	0.5       	55	90	329	3	0	3	0.948	0.785	0.805	0.733	0.379	0.948	0.542	0.621	0.733
8.0_64.0	1.5	0.3	0.5       	55	87	332	3	0	3	0.948	0.792	0.811	0.74	0.387	0.948	0.55	0.613	0.74
8.0_64.0	1.4	0.1	0.5       	54	85	334	4	0	4	0.931	0.797	0.813	0.728	0.388	0.931	0.548	0.612	0.728
8.0_64.0	1.5	0.4	0.5       	54	82	337	4	0	4	0.931	0.804	0.82	0.735	0.397	0.931	0.557	0.603	0.735
8.0_64.0	1.3	0.0	0.5       	53	73	346	5	0	5	0.914	0.826	0.836	0.74	0.421	0.914	0.576	0.579	0.74
8.0_64.0	1.3	0.1	0.5       	53	65	354	5	0	5	0.914	0.845	0.853	0.759	0.449	0.914	0.602	0.551	0.759
8.0_64.0	1.4	0.2	0.5       	53	79	340	5	0	5	0.914	0.811	0.824	0.725	0.402	0.914	0.558	0.598	0.725
8.0_64.0	1.4	0.0	0.7_0.75  	49	19	115	1	0	1	0.98	0.858	0.891	0.838	0.721	0.98	0.831	0.279	0.838
8.0_64.0	1.5	0.0	0.7_0.75  	49	22	112	1	0	1	0.98	0.836	0.875	0.816	0.69	0.98	0.81	0.31	0.816
8.0_64.0	1.5	0.1	0.7_0.75  	49	22	112	1	0	1	0.98	0.836	0.875	0.816	0.69	0.98	0.81	0.31	0.816
8.0_64.0	1.5	0.2	0.7_0.75  	49	20	114	1	0	1	0.98	0.851	0.886	0.831	0.71	0.98	0.823	0.29	0.831
8.0_64.0	1.5	0.3	0.7_0.75  	49	19	115	1	0	1	0.98	0.858	0.891	0.838	0.721	0.98	0.831	0.279	0.838
8.0_64.0	1.3	0.0	0.7_0.75  	48	15	119	2	0	2	0.96	0.888	0.908	0.848	0.762	0.96	0.85	0.238	0.848
8.0_64.0	1.4	0.1	0.7_0.75  	48	19	115	2	0	2	0.96	0.858	0.886	0.818	0.716	0.96	0.82	0.284	0.818
8.0_64.0	1.4	0.2	0.7_0.75  	48	18	116	2	0	2	0.96	0.866	0.891	0.826	0.727	0.96	0.827	0.273	0.826
8.0_64.0	1.4	0.3	0.7_0.75  	48	13	121	2	0	2	0.96	0.903	0.918	0.863	0.787	0.96	0.865	0.213	0.863
8.0_64.0	1.5	0.4	0.7_0.75  	48	19	115	2	0	2	0.96	0.858	0.886	0.818	0.716	0.96	0.82	0.284	0.818
8.0_64.0	1.3	0.0	1.0       	48	8	66	2	0	2	0.96	0.892	0.919	0.852	0.857	0.96	0.906	0.143	0.852
8.0_64.0	1.4	0.0	1.0       	48	12	62	2	0	2	0.96	0.838	0.887	0.798	0.8	0.96	0.873	0.2	0.798
8.0_64.0	1.4	0.1	1.0       	48	11	63	2	0	2	0.96	0.851	0.895	0.811	0.814	0.96	0.881	0.186	0.811
8.0_64.0	1.4	0.2	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.5	0.0	1.0       	48	12	62	2	0	2	0.96	0.838	0.887	0.798	0.8	0.96	0.873	0.2	0.798
8.0_64.0	1.5	0.1	1.0       	48	12	62	2	0	2	0.96	0.838	0.887	0.798	0.8	0.96	0.873	0.2	0.798
8.0_64.0	1.5	0.2	1.0       	48	12	62	2	0	2	0.96	0.838	0.887	0.798	0.8	0.96	0.873	0.2	0.798
8.0_64.0	1.5	0.3	1.0       	48	10	64	2	0	2	0.96	0.865	0.903	0.825	0.828	0.96	0.889	0.172	0.825
8.0_64.0	1.5	0.4	1.0       	48	8	66	2	0	2	0.96	0.892	0.919	0.852	0.857	0.96	0.906	0.143	0.852
8.0_64.0	1.5	0.5	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
