ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.4	0.0	0.1_0.125 	34	2048	7674	16	7	9	0.68	0.789	0.789	0.469	0.016	0.68	0.031	0.984	0.469
8.0_64.0	1.5	0.0	0.1_0.125 	34	2181	7541	16	7	9	0.68	0.776	0.775	0.456	0.015	0.68	0.029	0.985	0.456
8.0_64.0	1.5	0.1	0.1_0.125 	34	2146	7576	16	7	9	0.68	0.779	0.779	0.459	0.016	0.68	0.031	0.984	0.459
8.0_64.0	1.5	0.2	0.1_0.125 	34	2114	7608	16	7	9	0.68	0.783	0.782	0.463	0.016	0.68	0.031	0.984	0.463
8.0_64.0	1.3	0.0	0.1_0.125 	33	1902	7820	17	7	10	0.66	0.804	0.804	0.464	0.017	0.66	0.033	0.983	0.464
8.0_64.0	1.4	0.1	0.1_0.125 	33	2016	7706	17	7	10	0.66	0.793	0.792	0.453	0.016	0.66	0.031	0.984	0.453
8.0_64.0	1.4	0.2	0.1_0.125 	33	1982	7740	17	7	10	0.66	0.796	0.795	0.456	0.016	0.66	0.031	0.984	0.456
8.0_64.0	1.4	0.3	0.1_0.125 	33	1935	7787	17	7	10	0.66	0.801	0.8	0.461	0.017	0.66	0.033	0.983	0.461
8.0_64.0	1.5	0.3	0.1_0.125 	33	2075	7647	17	7	10	0.66	0.787	0.786	0.447	0.016	0.66	0.031	0.984	0.447
8.0_64.0	1.5	0.4	0.1_0.125 	33	2047	7675	17	7	10	0.66	0.789	0.789	0.449	0.016	0.66	0.031	0.984	0.449
8.0_64.0	1.1	0.0	0.25      	39	276	2301	11	3	8	0.78	0.893	0.891	0.673	0.124	0.78	0.214	0.876	0.673
8.0_64.0	1.2	0.0	0.25      	39	363	2214	11	3	8	0.78	0.859	0.858	0.639	0.097	0.78	0.173	0.903	0.639
8.0_64.0	1.2	0.1	0.25      	39	338	2239	11	3	8	0.78	0.869	0.867	0.649	0.103	0.78	0.182	0.897	0.649
8.0_64.0	1.2	0.2	0.25      	39	315	2262	11	3	8	0.78	0.878	0.876	0.658	0.11	0.78	0.193	0.89	0.658
8.0_64.0	1.2	0.3	0.25      	39	287	2290	11	3	8	0.78	0.889	0.887	0.669	0.12	0.78	0.208	0.88	0.669
8.0_64.0	1.3	0.0	0.25      	39	428	2149	11	3	8	0.78	0.834	0.833	0.614	0.084	0.78	0.152	0.916	0.614
8.0_64.0	1.3	0.1	0.25      	39	409	2168	11	3	8	0.78	0.841	0.84	0.621	0.087	0.78	0.157	0.913	0.621
8.0_64.0	1.3	0.2	0.25      	39	382	2195	11	3	8	0.78	0.852	0.85	0.632	0.093	0.78	0.166	0.907	0.632
8.0_64.0	1.3	0.3	0.25      	39	362	2215	11	3	8	0.78	0.86	0.858	0.64	0.097	0.78	0.173	0.903	0.64
8.0_64.0	1.3	0.4	0.25      	39	343	2234	11	3	8	0.78	0.867	0.865	0.647	0.102	0.78	0.18	0.898	0.647
8.0_64.0	1.5	0.0	0.375     	38	45	192	4	1	3	0.905	0.81	0.824	0.715	0.458	0.905	0.608	0.542	0.715
