ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.2	0.9	0.5       	45	25	422	7	6	1	0.865	0.944	0.936	0.809	0.643	0.865	0.738	0.357	0.809
8.0_64.0	1.2	0.8	0.5       	45	28	419	7	6	1	0.865	0.937	0.93	0.802	0.616	0.865	0.72	0.384	0.802
8.0_64.0	1.2	0.5	0.5       	46	40	407	6	6	0	0.885	0.911	0.908	0.796	0.535	0.885	0.667	0.465	0.796
8.0_64.0	1.3	1.0	0.5       	45	31	416	7	6	1	0.865	0.931	0.924	0.796	0.592	0.865	0.703	0.408	0.796
8.0_64.0	1.2	0.7	0.5       	45	32	415	7	6	1	0.865	0.928	0.922	0.793	0.584	0.865	0.697	0.416	0.793
8.0_64.0	1.3	0.8	0.5       	46	41	406	6	6	0	0.885	0.908	0.906	0.793	0.529	0.885	0.662	0.471	0.793
8.0_64.0	1.1	0.2	0.5       	46	42	405	6	6	0	0.885	0.906	0.904	0.791	0.523	0.885	0.657	0.477	0.791
8.0_64.0	1.1	0.4	0.5       	45	34	413	7	6	1	0.865	0.924	0.918	0.789	0.57	0.865	0.687	0.43	0.789
8.0_64.0	1.4	1.0	0.5       	46	43	404	6	6	0	0.885	0.904	0.902	0.789	0.517	0.885	0.653	0.483	0.789
8.0_64.0	1.1	0.6	0.5       	44	26	421	8	6	2	0.846	0.942	0.932	0.788	0.629	0.846	0.722	0.371	0.788
8.0_64.0	1.3	0.7	0.5       	46	44	403	6	6	0	0.885	0.902	0.9	0.787	0.511	0.885	0.648	0.489	0.787
8.0_64.0	1.3	0.9	0.5       	45	35	412	7	6	1	0.865	0.922	0.916	0.787	0.562	0.865	0.681	0.438	0.787
8.0_64.0	1.2	0.6	0.5       	45	36	411	7	6	1	0.865	0.919	0.914	0.784	0.556	0.865	0.677	0.444	0.784
8.0_64.0	1.0	0.3	0.5       	44	28	419	8	6	2	0.846	0.937	0.928	0.783	0.611	0.846	0.71	0.389	0.783
8.0_64.0	1.1	0.1	0.5       	46	47	400	6	6	0	0.885	0.895	0.894	0.78	0.495	0.885	0.635	0.505	0.78
8.0_64.0	1.1	0.5	0.5       	44	30	417	8	6	2	0.846	0.933	0.924	0.779	0.595	0.846	0.699	0.405	0.779
