ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	0.7	0.1	0.1_0.125 	29	652	9109	15	13	2	0.659	0.933	0.932	0.592	0.043	0.659	0.081	0.957	0.592
8.0_64.0	1.0	0.5	0.25      	32	135	2477	12	9	3	0.727	0.948	0.945	0.675	0.192	0.727	0.304	0.808	0.675
8.0_64.0	1.0	0.7	0.375     	27	5	242	9	7	2	0.75	0.98	0.951	0.73	0.844	0.75	0.794	0.156	0.73
8.0_64.0	1.2	0.9	0.5       	45	25	422	7	6	1	0.865	0.944	0.936	0.809	0.643	0.865	0.738	0.357	0.809
8.0_64.0	1.4	0.9	0.7_0.75  	38	19	135	6	6	0	0.864	0.877	0.874	0.741	0.667	0.864	0.753	0.333	0.741
8.0_64.0	0.8	0.0	1.0       	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294	0.657
