LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	2	0	183	2	28	0.062	1.0	0.86	1.0	0.062	0.117	0.0
0.1	0.1	0.1	1	0	183	2	29	0.031	1.0	0.856	1.0	0.031	0.06	0.0
0.1	0.1	0.2	1	0	183	2	29	0.031	1.0	0.856	1.0	0.031	0.06	0.0
0.1	0.1	0.3	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.4	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.5	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.8	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	0.9	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.1	1.0	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.2	0.0	6	0	183	2	24	0.188	1.0	0.879	1.0	0.188	0.316	0.0
0.1	0.2	0.1	6	0	183	2	24	0.188	1.0	0.879	1.0	0.188	0.316	0.0
0.1	0.2	0.2	3	0	183	2	27	0.094	1.0	0.865	1.0	0.094	0.172	0.0
0.1	0.2	0.3	3	0	183	2	27	0.094	1.0	0.865	1.0	0.094	0.172	0.0
0.1	0.2	0.4	2	0	183	2	28	0.062	1.0	0.86	1.0	0.062	0.117	0.0
0.1	0.2	0.5	1	0	183	2	29	0.031	1.0	0.856	1.0	0.031	0.06	0.0
0.1	0.2	0.6	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.2	0.7	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.2	0.8	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.2	0.9	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.2	1.0	0	0	183	2	30	0.0	1.0	0.851	0.0	0.0	0.0	1.0
0.1	0.3	0.0	11	1	182	2	19	0.344	0.995	0.898	0.917	0.344	0.5	0.083
0.1	0.3	0.1	10	1	182	2	20	0.312	0.995	0.893	0.909	0.312	0.465	0.091
0.1	0.3	0.2	9	0	183	2	21	0.281	1.0	0.893	1.0	0.281	0.439	0.0
0.1	0.3	0.3	8	0	183	2	22	0.25	1.0	0.888	1.0	0.25	0.4	0.0
0.1	0.3	0.4	8	0	183	2	22	0.25	1.0	0.888	1.0	0.25	0.4	0.0
0.1	0.3	0.5	5	0	183	2	25	0.156	1.0	0.874	1.0	0.156	0.27	0.0
0.1	0.3	0.6	5	0	183	2	25	0.156	1.0	0.874	1.0	0.156	0.27	0.0
0.1	0.3	0.7	4	0	183	2	26	0.125	1.0	0.87	1.0	0.125	0.222	0.0
0.1	0.3	0.8	3	0	183	2	27	0.094	1.0	0.865	1.0	0.094	0.172	0.0
0.1	0.3	0.9	3	0	183	2	27	0.094	1.0	0.865	1.0	0.094	0.172	0.0
0.1	0.3	1.0	3	0	183	2	27	0.094	1.0	0.865	1.0	0.094	0.172	0.0
0.1	0.4	0.0	15	3	180	2	15	0.469	0.984	0.907	0.833	0.469	0.6	0.167
0.1	0.4	0.1	14	2	181	2	16	0.438	0.989	0.907	0.875	0.438	0.584	0.125
0.1	0.4	0.2	12	1	182	2	18	0.375	0.995	0.902	0.923	0.375	0.533	0.077
0.1	0.4	0.3	11	1	182	2	19	0.344	0.995	0.898	0.917	0.344	0.5	0.083
0.1	0.4	0.4	10	0	183	2	20	0.312	1.0	0.898	1.0	0.312	0.476	0.0
0.1	0.4	0.5	10	0	183	2	20	0.312	1.0	0.898	1.0	0.312	0.476	0.0
0.1	0.4	0.6	9	0	183	2	21	0.281	1.0	0.893	1.0	0.281	0.439	0.0
0.1	0.4	0.7	7	0	183	2	23	0.219	1.0	0.884	1.0	0.219	0.359	0.0
0.1	0.4	0.8	5	0	183	2	25	0.156	1.0	0.874	1.0	0.156	0.27	0.0
0.1	0.4	0.9	5	0	183	2	25	0.156	1.0	0.874	1.0	0.156	0.27	0.0
0.1	0.4	1.0	4	0	183	2	26	0.125	1.0	0.87	1.0	0.125	0.222	0.0
0.1	0.5	0.0	16	3	180	2	14	0.5	0.984	0.912	0.842	0.5	0.627	0.158
0.1	0.5	0.1	15	3	180	2	15	0.469	0.984	0.907	0.833	0.469	0.6	0.167
0.1	0.5	0.2	15	3	180	2	15	0.469	0.984	0.907	0.833	0.469	0.6	0.167
0.1	0.5	0.3	15	3	180	2	15	0.469	0.984	0.907	0.833	0.469	0.6	0.167
0.1	0.5	0.4	14	2	181	2	16	0.438	0.989	0.907	0.875	0.438	0.584	0.125
0.1	0.5	0.5	12	1	182	2	18	0.375	0.995	0.902	0.923	0.375	0.533	0.077
