run_id	max_score	fTP:nb	TP:mean_vaf	TP:mean_score	TP:nb:vaf<1	TP:nb:vaf<0.5	FN:nb	FN:mean_vaf	FN:nb:vaf>=1	FN:nb:vaf<1	FN:nb:vaf<0.5	FP:nb	FP:mean_vaf	FP:mean_score	FP:nb:vaf<1	FP:nb:vaf<0.5
181128_M02558_0267_000000000-C5GNB	0.25	0	nan	nan	0	0	10	1.32	4	6	4	9	0.04	0.16	9	9
181128_M02558_0267_000000000-C5GNB	0.5	5	2.8	0.4	2	1	5	0.14	0	5	4	103	0.04	0.36	103	103
181128_M02558_0267_000000000-C5GNB	1.0	7	2.13	0.5	4	2	3	0.03	0	3	3	185	0.03	0.55	185	185
181128_M02558_0267_000000000-C5GNB	1.25	7	2.13	0.5	4	2	3	0.03	0	3	3	1534	0.02	1.08	1534	1534
181128_M02558_0267_000000000-C5GNB	1.5	7	2.13	0.5	4	2	3	0.03	0	3	3	2249	0.02	1.16	2249	2249
181128_M02558_0267_000000000-C5GNB	1.75	7	2.13	0.5	4	2	3	0.03	0	3	3	2378	0.02	1.18	2378	2373
181128_M02558_0267_000000000-C5GNB	2.0	7	2.13	0.5	4	2	3	0.03	0	3	3	2403	0.02	1.19	2403	2398
181128_M02558_0267_000000000-C5GNB	2.25	7	2.13	0.5	4	2	3	0.03	0	3	3	3827	0.02	1.55	3827	3822
181128_M02558_0267_000000000-C5GNB	2.5	7	2.13	0.5	4	2	3	0.03	0	3	3	4918	0.02	1.73	4918	4913
181130_M03829_0180_000000000-C6MPY	0.25	0	nan	nan	0	0	10	1.32	4	6	4	28	0.03	0.2	28	28
181130_M03829_0180_000000000-C6MPY	0.5	6	2.16	0.39	4	2	4	0.28	1	3	3	207	0.02	0.35	207	207
181130_M03829_0180_000000000-C6MPY	1.0	7	2.09	0.41	4	2	3	0.03	0	3	3	366	0.03	0.52	366	366
181130_M03829_0180_000000000-C6MPY	1.25	7	2.09	0.41	4	2	3	0.03	0	3	3	2137	0.01	1.04	2137	2137
181130_M03829_0180_000000000-C6MPY	1.5	7	2.09	0.41	4	2	3	0.03	0	3	3	3149	0.01	1.14	3149	3149
181130_M03829_0180_000000000-C6MPY	1.75	8	1.84	0.55	5	3	2	0.0	0	2	2	3377	0.01	1.17	3377	3377
181130_M03829_0180_000000000-C6MPY	2.0	8	1.84	0.55	5	3	2	0.0	0	2	2	3447	0.01	1.18	3447	3447
181130_M03829_0180_000000000-C6MPY	2.25	8	1.84	0.55	5	3	2	0.0	0	2	2	5933	0.01	1.59	5933	5933
181130_M03829_0180_000000000-C6MPY	2.5	8	1.84	0.55	5	3	2	0.0	0	2	2	7732	0.01	1.77	7732	7732
181203_M02558_0269_000000000-C5GG5	0.25	0	nan	nan	0	0	10	1.32	4	6	4	14	0.04	0.18	14	14
181203_M02558_0269_000000000-C5GG5	0.5	7	2.26	0.42	3	1	3	0.03	0	3	3	99	0.04	0.37	99	99
181203_M02558_0269_000000000-C5GG5	1.0	7	2.26	0.42	3	1	3	0.03	0	3	3	205	0.04	0.58	205	205
