LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
2.0	0.6	0.5	54	46	139	0	2	0.964	0.751	0.801	0.54	0.964	0.692	0.46
2.0	0.6	0.4	54	48	137	0	2	0.964	0.741	0.793	0.529	0.964	0.683	0.471
2.0	0.7	0.7	54	50	135	0	2	0.964	0.73	0.784	0.519	0.964	0.675	0.481
2.0	0.6	0.0	54	53	132	0	2	0.964	0.714	0.772	0.505	0.964	0.663	0.495
2.0	0.6	0.1	54	53	132	0	2	0.964	0.714	0.772	0.505	0.964	0.663	0.495
2.0	0.6	0.2	54	53	132	0	2	0.964	0.714	0.772	0.505	0.964	0.663	0.495
2.0	0.7	0.3	54	55	130	0	2	0.964	0.703	0.763	0.495	0.964	0.654	0.505
2.0	0.7	0.4	54	55	130	0	2	0.964	0.703	0.763	0.495	0.964	0.654	0.505
2.0	0.7	0.5	54	53	132	0	2	0.964	0.714	0.772	0.505	0.964	0.663	0.495
2.0	0.8	0.8	54	55	130	0	2	0.964	0.703	0.763	0.495	0.964	0.654	0.505
2.0	0.9	1.0	54	58	127	0	2	0.964	0.686	0.751	0.482	0.964	0.643	0.518
2.0	0.5	0.2	54	46	139	0	2	0.964	0.751	0.801	0.54	0.964	0.692	0.46
2.0	0.5	0.3	53	43	142	0	3	0.946	0.768	0.809	0.552	0.946	0.697	0.448
2.0	0.5	0.0	54	51	134	0	2	0.964	0.724	0.78	0.514	0.964	0.67	0.486
2.0	0.5	0.1	54	48	137	0	2	0.964	0.741	0.793	0.529	0.964	0.683	0.471
2.0	0.6	0.3	54	51	134	0	2	0.964	0.724	0.78	0.514	0.964	0.67	0.486
2.0	0.8	0.7	54	56	129	0	2	0.964	0.697	0.759	0.491	0.964	0.651	0.509
2.0	0.4	0.0	54	43	142	0	2	0.964	0.768	0.813	0.557	0.964	0.706	0.443
