ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.7	0.7	0.1_0.125 	30	710	14368	45	16	29	0.4	0.953	0.95	0.353	0.041	0.4	0.074	0.959	0.353
4.0_64.0	0.7	0.8	0.1_0.125 	28	678	14400	47	16	31	0.373	0.955	0.952	0.328	0.04	0.373	0.072	0.96	0.328
4.0_64.0	0.7	0.5	0.1_0.125 	33	807	14271	42	16	26	0.44	0.946	0.944	0.386	0.039	0.44	0.072	0.961	0.386
4.0_64.0	0.7	0.9	0.1_0.125 	26	648	14430	49	16	33	0.347	0.957	0.954	0.304	0.039	0.347	0.07	0.961	0.304
4.0_64.0	0.7	1.0	0.1_0.125 	25	613	14465	50	16	34	0.333	0.959	0.956	0.292	0.039	0.333	0.07	0.961	0.292
4.0_64.0	0.7	0.3	0.1_0.125 	35	889	14189	40	16	24	0.467	0.941	0.939	0.408	0.038	0.467	0.07	0.962	0.408
4.0_64.0	0.7	0.4	0.1_0.125 	33	840	14238	42	16	26	0.44	0.944	0.942	0.384	0.038	0.44	0.07	0.962	0.384
4.0_64.0	0.7	0.6	0.1_0.125 	30	765	14313	45	16	29	0.4	0.949	0.947	0.349	0.038	0.4	0.069	0.962	0.349
4.0_64.0	0.7	0.1	0.1_0.125 	37	962	14116	38	16	22	0.493	0.936	0.934	0.429	0.037	0.493	0.069	0.963	0.429
4.0_64.0	0.7	0.2	0.1_0.125 	36	927	14151	39	16	23	0.48	0.939	0.936	0.419	0.037	0.48	0.069	0.963	0.419
4.0_64.0	0.7	1.0	0.25      	28	59	4448	47	10	37	0.373	0.987	0.977	0.36	0.322	0.373	0.346	0.678	0.36
4.0_64.0	0.7	0.7	0.25      	31	71	4436	44	10	34	0.413	0.984	0.975	0.397	0.304	0.413	0.35	0.696	0.397
4.0_64.0	0.7	0.9	0.25      	28	64	4443	47	10	37	0.373	0.986	0.976	0.359	0.304	0.373	0.335	0.696	0.359
4.0_64.0	0.7	0.6	0.25      	32	75	4432	43	10	33	0.427	0.983	0.974	0.41	0.299	0.427	0.352	0.701	0.41
4.0_64.0	0.7	0.8	0.25      	28	66	4441	47	10	37	0.373	0.985	0.975	0.358	0.298	0.373	0.331	0.702	0.358
4.0_64.0	0.8	1.0	0.25      	31	78	4429	44	10	34	0.413	0.983	0.973	0.396	0.284	0.413	0.337	0.716	0.396
4.0_64.0	0.7	0.5	0.25      	33	85	4422	42	10	32	0.44	0.981	0.972	0.421	0.28	0.44	0.342	0.72	0.421
4.0_64.0	0.7	0.3	0.25      	36	93	4414	39	10	29	0.48	0.979	0.971	0.459	0.279	0.48	0.353	0.721	0.459
4.0_64.0	0.7	0.4	0.25      	34	90	4417	41	10	31	0.453	0.98	0.971	0.433	0.274	0.453	0.341	0.726	0.433
4.0_64.0	0.7	0.2	0.25      	37	101	4406	38	10	28	0.493	0.978	0.97	0.471	0.268	0.493	0.347	0.732	0.471
4.0_64.0	0.7	0.2	0.375     	39	3	420	24	2	22	0.619	0.993	0.944	0.612	0.929	0.619	0.743	0.071	0.612
4.0_64.0	0.8	0.5	0.375     	39	3	420	24	2	22	0.619	0.993	0.944	0.612	0.929	0.619	0.743	0.071	0.612
4.0_64.0	0.9	0.8	0.375     	39	3	420	24	2	22	0.619	0.993	0.944	0.612	0.929	0.619	0.743	0.071	0.612
4.0_64.0	0.7	0.3	0.375     	37	3	420	26	2	24	0.587	0.993	0.94	0.58	0.925	0.587	0.718	0.075	0.58
4.0_64.0	0.8	0.6	0.375     	36	3	420	27	2	25	0.571	0.993	0.938	0.564	0.923	0.571	0.706	0.077	0.564
4.0_64.0	0.9	0.9	0.375     	36	3	420	27	2	25	0.571	0.993	0.938	0.564	0.923	0.571	0.706	0.077	0.564
4.0_64.0	0.8	0.7	0.375     	35	3	420	28	2	26	0.556	0.993	0.936	0.549	0.921	0.556	0.693	0.079	0.549
4.0_64.0	0.9	1.0	0.375     	35	3	420	28	2	26	0.556	0.993	0.936	0.549	0.921	0.556	0.693	0.079	0.549
4.0_64.0	0.7	0.4	0.375     	34	3	420	29	2	27	0.54	0.993	0.934	0.533	0.919	0.54	0.68	0.081	0.533
4.0_64.0	0.7	0.5	0.375     	34	3	420	29	2	27	0.54	0.993	0.934	0.533	0.919	0.54	0.68	0.081	0.533
4.0_64.0	0.7	0.5	0.5       	58	1	779	29	2	27	0.667	0.999	0.965	0.666	0.983	0.667	0.795	0.017	0.666
4.0_64.0	0.7	0.6	0.5       	55	1	779	32	2	30	0.632	0.999	0.962	0.631	0.982	0.632	0.769	0.018	0.631
4.0_64.0	0.7	0.7	0.5       	55	1	779	32	2	30	0.632	0.999	0.962	0.631	0.982	0.632	0.769	0.018	0.631
4.0_64.0	0.8	0.9	0.5       	55	1	779	32	2	30	0.632	0.999	0.962	0.631	0.982	0.632	0.769	0.018	0.631
4.0_64.0	0.8	1.0	0.5       	55	1	779	32	2	30	0.632	0.999	0.962	0.631	0.982	0.632	0.769	0.018	0.631
4.0_64.0	0.7	0.8	0.5       	52	1	779	35	2	33	0.598	0.999	0.958	0.597	0.981	0.598	0.743	0.019	0.597
4.0_64.0	0.7	0.9	0.5       	50	1	779	37	2	35	0.575	0.999	0.956	0.574	0.98	0.575	0.725	0.02	0.574
