ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.5	0.0	0.1_0.125 	45	3278	11800	30	16	14	0.6	0.783	0.782	0.383	0.014	0.6	0.027	0.986	0.383
4.0_64.0	1.4	0.0	0.1_0.125 	44	3080	11998	31	16	15	0.587	0.796	0.795	0.383	0.014	0.587	0.027	0.986	0.383
4.0_64.0	1.5	0.1	0.1_0.125 	44	3225	11853	31	16	15	0.587	0.786	0.785	0.373	0.013	0.587	0.025	0.987	0.373
4.0_64.0	1.5	0.2	0.1_0.125 	44	3177	11901	31	16	15	0.587	0.789	0.788	0.376	0.014	0.587	0.027	0.986	0.376
4.0_64.0	1.3	0.0	0.1_0.125 	43	2840	12238	32	16	16	0.573	0.812	0.81	0.385	0.015	0.573	0.029	0.985	0.385
4.0_64.0	1.4	0.1	0.1_0.125 	43	3024	12054	32	16	16	0.573	0.799	0.798	0.372	0.014	0.573	0.027	0.986	0.372
4.0_64.0	1.4	0.2	0.1_0.125 	43	2964	12114	32	16	16	0.573	0.803	0.802	0.376	0.014	0.573	0.027	0.986	0.376
4.0_64.0	1.4	0.3	0.1_0.125 	43	2896	12182	32	16	16	0.573	0.808	0.807	0.381	0.015	0.573	0.029	0.985	0.381
4.0_64.0	1.5	0.3	0.1_0.125 	43	3127	11951	32	16	16	0.573	0.793	0.792	0.366	0.014	0.573	0.027	0.986	0.366
4.0_64.0	1.5	0.4	0.1_0.125 	43	3075	12003	32	16	16	0.573	0.796	0.795	0.369	0.014	0.573	0.027	0.986	0.369
4.0_64.0	1.5	0.0	0.25      	51	864	3643	24	10	14	0.68	0.808	0.806	0.488	0.056	0.68	0.103	0.944	0.488
4.0_64.0	1.5	0.1	0.25      	51	850	3657	24	10	14	0.68	0.811	0.809	0.491	0.057	0.68	0.105	0.943	0.491
4.0_64.0	1.1	0.0	0.25      	50	464	4043	25	10	15	0.667	0.897	0.893	0.564	0.097	0.667	0.169	0.903	0.564
4.0_64.0	1.2	0.0	0.25      	50	601	3906	25	10	15	0.667	0.867	0.863	0.534	0.077	0.667	0.138	0.923	0.534
4.0_64.0	1.2	0.1	0.25      	50	550	3957	25	10	15	0.667	0.878	0.875	0.545	0.083	0.667	0.148	0.917	0.545
4.0_64.0	1.2	0.2	0.25      	50	513	3994	25	10	15	0.667	0.886	0.883	0.553	0.089	0.667	0.157	0.911	0.553
4.0_64.0	1.2	0.3	0.25      	50	476	4031	25	10	15	0.667	0.894	0.891	0.561	0.095	0.667	0.166	0.905	0.561
4.0_64.0	1.3	0.0	0.25      	50	703	3804	25	10	15	0.667	0.844	0.841	0.511	0.066	0.667	0.12	0.934	0.511
4.0_64.0	1.3	0.1	0.25      	50	674	3833	25	10	15	0.667	0.85	0.847	0.517	0.069	0.667	0.125	0.931	0.517
4.0_64.0	1.3	0.2	0.25      	50	634	3873	25	10	15	0.667	0.859	0.856	0.526	0.073	0.667	0.132	0.927	0.526
4.0_64.0	1.5	0.0	0.375     	54	71	352	9	2	7	0.857	0.832	0.835	0.689	0.432	0.857	0.574	0.568	0.689
4.0_64.0	1.5	0.1	0.375     	54	69	354	9	2	7	0.857	0.837	0.84	0.694	0.439	0.857	0.581	0.561	0.694
4.0_64.0	1.5	0.2	0.375     	53	66	357	10	2	8	0.841	0.844	0.844	0.685	0.445	0.841	0.582	0.555	0.685
4.0_64.0	1.4	0.0	0.375     	52	65	358	11	2	9	0.825	0.846	0.844	0.671	0.444	0.825	0.577	0.556	0.671
4.0_64.0	1.4	0.1	0.375     	52	62	361	11	2	9	0.825	0.853	0.85	0.678	0.456	0.825	0.587	0.544	0.678
4.0_64.0	1.4	0.2	0.375     	52	56	367	11	2	9	0.825	0.868	0.862	0.693	0.481	0.825	0.608	0.519	0.693
4.0_64.0	1.5	0.3	0.375     	52	61	362	11	2	9	0.825	0.856	0.852	0.681	0.46	0.825	0.591	0.54	0.681
4.0_64.0	1.5	0.4	0.375     	52	58	365	11	2	9	0.825	0.863	0.858	0.688	0.473	0.825	0.601	0.527	0.688
4.0_64.0	1.5	0.5	0.375     	51	51	372	12	2	10	0.81	0.879	0.87	0.689	0.5	0.81	0.618	0.5	0.689
4.0_64.0	1.5	0.6	0.375     	51	45	378	12	2	10	0.81	0.894	0.883	0.704	0.531	0.81	0.641	0.469	0.704
4.0_64.0	1.5	0.0	0.5       	82	153	627	5	2	3	0.943	0.804	0.818	0.747	0.349	0.943	0.509	0.651	0.747
4.0_64.0	1.5	0.1	0.5       	82	148	632	5	2	3	0.943	0.81	0.824	0.753	0.357	0.943	0.518	0.643	0.753
4.0_64.0	1.5	0.2	0.5       	81	142	638	6	2	4	0.931	0.818	0.829	0.749	0.363	0.931	0.522	0.637	0.749
4.0_64.0	1.4	0.0	0.5       	80	140	640	7	2	5	0.92	0.821	0.83	0.741	0.364	0.92	0.522	0.636	0.741
4.0_64.0	1.5	0.3	0.5       	80	135	645	7	2	5	0.92	0.827	0.836	0.747	0.372	0.92	0.53	0.628	0.747
4.0_64.0	1.4	0.1	0.5       	79	131	649	8	2	6	0.908	0.832	0.84	0.74	0.376	0.908	0.532	0.624	0.74
4.0_64.0	1.5	0.4	0.5       	79	129	651	8	2	6	0.908	0.835	0.842	0.743	0.38	0.908	0.536	0.62	0.743
4.0_64.0	1.3	0.0	0.5       	77	116	664	10	2	8	0.885	0.851	0.855	0.736	0.399	0.885	0.55	0.601	0.736
4.0_64.0	1.3	0.1	0.5       	77	106	674	10	2	8	0.885	0.864	0.866	0.749	0.421	0.885	0.571	0.579	0.749
4.0_64.0	1.4	0.2	0.5       	77	122	658	10	2	8	0.885	0.844	0.848	0.729	0.387	0.885	0.539	0.613	0.729
4.0_64.0	1.4	0.0	0.7_0.75  	73	33	222	2	0	2	0.973	0.871	0.894	0.844	0.689	0.973	0.807	0.311	0.844
4.0_64.0	1.5	0.0	0.7_0.75  	73	37	218	2	0	2	0.973	0.855	0.882	0.828	0.664	0.973	0.789	0.336	0.828
4.0_64.0	1.5	0.1	0.7_0.75  	73	37	218	2	0	2	0.973	0.855	0.882	0.828	0.664	0.973	0.789	0.336	0.828
4.0_64.0	1.5	0.2	0.7_0.75  	73	35	220	2	0	2	0.973	0.863	0.888	0.836	0.676	0.973	0.798	0.324	0.836
4.0_64.0	1.5	0.3	0.7_0.75  	73	31	224	2	0	2	0.973	0.878	0.9	0.851	0.702	0.973	0.816	0.298	0.851
4.0_64.0	1.3	0.0	0.7_0.75  	72	25	230	3	0	3	0.96	0.902	0.915	0.862	0.742	0.96	0.837	0.258	0.862
4.0_64.0	1.4	0.1	0.7_0.75  	72	33	222	3	0	3	0.96	0.871	0.891	0.831	0.686	0.96	0.8	0.314	0.831
