LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.6	0.5	26	19	382	6	18	0.52	0.953	0.905	0.578	0.52	0.547	0.422
0.1	0.6	0.4	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.7	0.7	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.6	0.0	28	31	370	6	16	0.56	0.923	0.882	0.475	0.56	0.514	0.525
0.1	0.6	0.1	28	28	373	6	16	0.56	0.93	0.889	0.5	0.56	0.528	0.5
0.1	0.6	0.2	27	24	377	6	17	0.54	0.94	0.896	0.529	0.54	0.534	0.471
0.1	0.7	0.3	28	30	371	6	16	0.56	0.925	0.885	0.483	0.56	0.519	0.517
0.1	0.7	0.4	28	27	374	6	16	0.56	0.933	0.891	0.509	0.56	0.533	0.491
0.1	0.7	0.5	27	26	375	6	17	0.54	0.935	0.891	0.509	0.54	0.524	0.491
0.1	0.8	0.8	27	26	375	6	17	0.54	0.935	0.891	0.509	0.54	0.524	0.491
0.1	0.9	1.0	27	27	374	6	17	0.54	0.933	0.889	0.5	0.54	0.519	0.5
0.1	0.5	0.2	27	19	382	6	17	0.54	0.953	0.907	0.587	0.54	0.563	0.413
0.1	0.5	0.3	26	18	383	6	18	0.52	0.955	0.907	0.591	0.52	0.553	0.409
0.1	0.5	0.0	27	23	378	6	17	0.54	0.943	0.898	0.54	0.54	0.54	0.46
0.1	0.5	0.1	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.6	0.3	27	23	378	6	17	0.54	0.943	0.898	0.54	0.54	0.54	0.46
0.1	0.8	0.7	28	26	375	6	16	0.56	0.935	0.894	0.519	0.56	0.539	0.481
0.1	0.4	0.0	26	18	383	6	18	0.52	0.955	0.907	0.591	0.52	0.553	0.409
