ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	0.7	1.0	0.1_0.125 	20	412	9310	30	7	23	0.4	0.958	0.955	0.358	0.046	0.4	0.083	0.954	0.358
8.0_64.0	0.7	0.9	0.1_0.125 	21	438	9284	29	7	22	0.42	0.955	0.952	0.375	0.046	0.42	0.083	0.954	0.375
8.0_64.0	0.7	0.8	0.1_0.125 	23	458	9264	27	7	20	0.46	0.953	0.95	0.413	0.048	0.46	0.087	0.952	0.413
8.0_64.0	0.7	0.7	0.1_0.125 	25	479	9243	25	7	18	0.5	0.951	0.948	0.451	0.05	0.5	0.091	0.95	0.451
8.0_64.0	0.7	0.6	0.1_0.125 	25	512	9210	25	7	18	0.5	0.947	0.945	0.447	0.047	0.5	0.086	0.953	0.447
8.0_64.0	0.7	0.5	0.1_0.125 	26	538	9184	24	7	17	0.52	0.945	0.942	0.465	0.046	0.52	0.085	0.954	0.465
8.0_64.0	0.8	1.0	0.1_0.125 	25	533	9189	25	7	18	0.5	0.945	0.943	0.445	0.045	0.5	0.083	0.955	0.445
8.0_64.0	0.8	0.9	0.1_0.125 	26	558	9164	24	7	17	0.52	0.943	0.94	0.463	0.045	0.52	0.083	0.955	0.463
8.0_64.0	0.7	0.4	0.1_0.125 	26	560	9162	24	7	17	0.52	0.942	0.94	0.462	0.044	0.52	0.081	0.956	0.462
8.0_64.0	0.8	0.8	0.1_0.125 	26	579	9143	24	7	17	0.52	0.94	0.938	0.46	0.043	0.52	0.079	0.957	0.46
8.0_64.0	0.7	0.8	0.25      	21	27	2550	29	3	26	0.42	0.99	0.979	0.41	0.438	0.42	0.429	0.562	0.41
8.0_64.0	0.7	0.9	0.25      	21	26	2551	29	3	26	0.42	0.99	0.979	0.41	0.447	0.42	0.433	0.553	0.41
8.0_64.0	0.7	1.0	0.25      	21	25	2552	29	3	26	0.42	0.99	0.979	0.41	0.457	0.42	0.438	0.543	0.41
8.0_64.0	0.7	0.7	0.25      	23	29	2548	27	3	24	0.46	0.989	0.979	0.449	0.442	0.46	0.451	0.558	0.449
8.0_64.0	0.7	0.6	0.25      	24	31	2546	26	3	23	0.48	0.988	0.978	0.468	0.436	0.48	0.457	0.564	0.468
8.0_64.0	0.8	1.0	0.25      	23	33	2544	27	3	24	0.46	0.987	0.977	0.447	0.411	0.46	0.434	0.589	0.447
