ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	0.7	1.0	>=0.1_0.125	149	438	12725	151	11	140	0.497	0.967	0.956	0.464	0.254	0.497	0.336	0.746	0.484
8.0_64.0	0.7	0.9	>=0.1_0.125	157	465	12698	143	11	132	0.523	0.965	0.955	0.488	0.252	0.523	0.34	0.748	0.511
8.0_64.0	0.7	0.8	>=0.1_0.125	165	486	12677	135	11	124	0.55	0.963	0.954	0.513	0.253	0.55	0.347	0.747	0.537
8.0_64.0	0.7	0.7	>=0.1_0.125	176	509	12654	124	11	113	0.587	0.961	0.953	0.548	0.257	0.587	0.357	0.743	0.573
8.0_64.0	0.7	0.6	>=0.1_0.125	182	544	12619	118	11	107	0.607	0.959	0.951	0.566	0.251	0.607	0.355	0.749	0.593
8.0_64.0	0.8	1.0	>=0.1_0.125	177	567	12596	123	11	112	0.59	0.957	0.949	0.547	0.238	0.59	0.339	0.762	0.575
8.0_64.0	0.7	0.5	>=0.1_0.125	187	577	12586	113	11	102	0.623	0.956	0.949	0.579	0.245	0.623	0.352	0.755	0.608
8.0_64.0	0.7	0.4	>=0.1_0.125	194	602	12561	106	11	95	0.647	0.954	0.947	0.601	0.244	0.647	0.354	0.756	0.629
8.0_64.0	0.8	0.9	>=0.1_0.125	181	599	12564	119	11	108	0.603	0.954	0.947	0.557	0.232	0.603	0.335	0.768	0.588
8.0_64.0	0.8	0.8	>=0.1_0.125	189	622	12541	111	11	100	0.63	0.953	0.946	0.583	0.233	0.63	0.34	0.767	0.613
8.0_64.0	0.7	0.8	>=0.25    	142	28	3413	108	4	104	0.568	0.992	0.963	0.56	0.835	0.568	0.676	0.165	0.562
8.0_64.0	0.7	0.9	>=0.25    	136	27	3414	114	4	110	0.544	0.992	0.962	0.536	0.834	0.544	0.658	0.166	0.538
8.0_64.0	0.7	1.0	>=0.25    	129	26	3415	121	4	117	0.516	0.992	0.96	0.508	0.832	0.516	0.637	0.168	0.509
8.0_64.0	0.7	0.6	>=0.25    	157	32	3409	93	4	89	0.628	0.991	0.966	0.619	0.831	0.628	0.715	0.169	0.622
8.0_64.0	0.7	0.7	>=0.25    	151	30	3411	99	4	95	0.604	0.991	0.965	0.595	0.834	0.604	0.701	0.166	0.598
