ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.7	0.1	0.1_0.125 	37	974	14162	29	25	4	0.561	0.936	0.934	0.497	0.037	0.561	0.069	0.963	0.497
4.0_64.0	1.0	0.5	0.25      	41	246	4313	25	19	6	0.621	0.946	0.941	0.567	0.143	0.621	0.232	0.857	0.567
4.0_64.0	1.0	0.7	0.375     	38	12	426	16	11	5	0.704	0.973	0.943	0.677	0.76	0.704	0.731	0.24	0.677
4.0_64.0	1.2	0.9	0.5       	63	41	781	15	11	4	0.808	0.95	0.938	0.758	0.606	0.808	0.693	0.394	0.758
4.0_64.0	1.1	0.1	0.7_0.75  	55	29	255	11	9	2	0.833	0.898	0.886	0.731	0.655	0.833	0.733	0.345	0.731
4.0_64.0	1.0	0.4	1.0       	55	22	144	11	9	2	0.833	0.867	0.858	0.7	0.714	0.833	0.769	0.286	0.7
