vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125	4.0_64.0	0.1	0.0	1	234	14902	65	25	40	0.015	0.985	0.98	0.0	0.004	0.015	0.006	0.996
0.1_0.125	8.0_64.0	0.1	0.0	1	164	9597	43	13	30	0.023	0.983	0.979	0.006	0.006	0.023	0.01	0.994
0.25	4.0_64.0	0.1	0.0	1	1	4558	65	19	46	0.015	1.0	0.986	0.015	0.5	0.015	0.029	0.5
0.25	8.0_64.0	0.1	0.0	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.0	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.0	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.0	1	0	822	77	11	66	0.013	1.0	0.914	0.013	1.0	0.013	0.026	0.0
0.5	8.0_64.0	0.1	0.0	1	0	447	51	6	45	0.019	1.0	0.898	0.019	1.0	0.019	0.037	0.0
0.7_0.75	4.0_64.0	0.1	0.0	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.0	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.0	1	0	166	65	9	56	0.015	1.0	0.72	0.015	1.0	0.015	0.03	0.0
1.0	8.0_64.0	0.1	0.0	1	0	93	43	6	37	0.023	1.0	0.686	0.023	1.0	0.023	0.045	0.0
0.1_0.125	4.0_64.0	0.1	0.1	0	232	14904	66	25	41	0.0	0.985	0.98	-0.015	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.1	0	162	9599	44	13	31	0.0	0.983	0.979	-0.017	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.1	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.1	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.1	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.1	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.1	1	0	822	77	11	66	0.013	1.0	0.914	0.013	1.0	0.013	0.026	0.0
0.5	8.0_64.0	0.1	0.1	1	0	447	51	6	45	0.019	1.0	0.898	0.019	1.0	0.019	0.037	0.0
0.7_0.75	4.0_64.0	0.1	0.1	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.1	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.1	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.1	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.2	0	229	14907	66	25	41	0.0	0.985	0.981	-0.015	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.2	0	160	9601	44	13	31	0.0	0.984	0.979	-0.016	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.2	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.2	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.2	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.2	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.2	1	0	822	77	11	66	0.013	1.0	0.914	0.013	1.0	0.013	0.026	0.0
0.5	8.0_64.0	0.1	0.2	1	0	447	51	6	45	0.019	1.0	0.898	0.019	1.0	0.019	0.037	0.0
0.7_0.75	4.0_64.0	0.1	0.2	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.2	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.2	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.2	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
