LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	0	1	613	39	33	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.1	0	1	613	39	33	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.2	0	1	613	39	33	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.3	0	1	613	39	33	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.4	0	2	612	39	33	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.5	0	4	610	39	33	0.0	0.99	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	5	609	39	33	0.0	0.99	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	7	607	39	33	0.0	0.99	0.88	0.0	0.0	0.0	1.0
0.1	0.1	0.8	3	9	605	39	30	0.04	0.99	0.89	0.25	0.04	0.07	0.75
0.1	0.1	0.9	4	10	604	39	29	0.06	0.98	0.89	0.29	0.06	0.1	0.71
0.1	0.1	1.0	5	12	602	39	28	0.07	0.98	0.88	0.29	0.07	0.11	0.71
0.1	0.2	0.0	1	5	609	39	32	0.01	0.99	0.89	0.17	0.01	0.02	0.83
0.1	0.2	0.1	1	5	609	39	32	0.01	0.99	0.89	0.17	0.01	0.02	0.83
0.1	0.2	0.2	2	6	608	39	31	0.03	0.99	0.89	0.25	0.03	0.05	0.75
0.1	0.2	0.3	2	7	607	39	31	0.03	0.99	0.89	0.22	0.03	0.05	0.78
0.1	0.2	0.4	2	11	603	39	31	0.03	0.98	0.88	0.15	0.03	0.05	0.85
0.1	0.2	0.5	4	12	602	39	29	0.06	0.98	0.88	0.25	0.06	0.1	0.75
0.1	0.2	0.6	7	13	601	39	26	0.1	0.98	0.89	0.35	0.1	0.16	0.65
0.1	0.2	0.7	9	13	601	39	24	0.12	0.98	0.89	0.41	0.12	0.19	0.59
0.1	0.2	0.8	10	16	598	39	23	0.14	0.97	0.89	0.38	0.14	0.2	0.62
0.1	0.2	0.9	17	20	594	39	16	0.24	0.97	0.89	0.46	0.24	0.32	0.54
0.1	0.2	1.0	22	22	592	39	11	0.31	0.96	0.9	0.5	0.31	0.38	0.5
0.1	0.3	0.0	4	10	604	39	29	0.06	0.98	0.89	0.29	0.06	0.1	0.71
0.1	0.3	0.1	4	12	602	39	29	0.06	0.98	0.88	0.25	0.06	0.1	0.75
0.1	0.3	0.2	4	12	602	39	29	0.06	0.98	0.88	0.25	0.06	0.1	0.75
0.1	0.3	0.3	8	13	601	39	25	0.11	0.98	0.89	0.38	0.11	0.17	0.62
0.1	0.3	0.4	11	15	599	39	22	0.15	0.98	0.89	0.42	0.15	0.22	0.58
0.1	0.3	0.5	13	17	597	39	20	0.18	0.97	0.89	0.43	0.18	0.25	0.57
0.1	0.3	0.6	17	18	596	39	16	0.24	0.97	0.89	0.49	0.24	0.32	0.51
0.1	0.3	0.7	21	22	592	39	12	0.29	0.96	0.89	0.49	0.29	0.36	0.51
0.1	0.3	0.8	25	27	587	39	8	0.35	0.96	0.89	0.48	0.35	0.4	0.52
0.1	0.3	0.9	25	29	585	39	8	0.35	0.95	0.89	0.46	0.35	0.4	0.54
0.1	0.3	1.0	26	34	580	39	7	0.36	0.94	0.88	0.43	0.36	0.39	0.57
0.1	0.4	0.0	9	14	600	39	24	0.12	0.98	0.89	0.39	0.12	0.18	0.61
0.1	0.4	0.1	13	16	598	39	20	0.18	0.97	0.89	0.45	0.18	0.26	0.55
0.1	0.4	0.2	14	17	597	39	19	0.19	0.97	0.89	0.45	0.19	0.27	0.55
0.1	0.4	0.3	17	20	594	39	16	0.24	0.97	0.89	0.46	0.24	0.32	0.54
0.1	0.4	0.4	21	24	590	39	12	0.29	0.96	0.89	0.47	0.29	0.36	0.53
0.1	0.4	0.5	24	27	587	39	9	0.33	0.96	0.89	0.47	0.33	0.39	0.53
0.1	0.4	0.6	25	30	584	39	8	0.35	0.95	0.89	0.45	0.35	0.39	0.55
0.1	0.4	0.7	26	36	578	39	7	0.36	0.94	0.88	0.42	0.36	0.39	0.58
0.1	0.4	0.8	26	37	577	39	7	0.36	0.94	0.88	0.41	0.36	0.38	0.59
0.1	0.4	0.9	31	39	575	39	2	0.43	0.94	0.88	0.44	0.43	0.43	0.56
0.1	0.4	1.0	33	40	574	39	0	0.46	0.93	0.88	0.45	0.46	0.45	0.55
0.1	0.5	0.0	16	22	592	39	17	0.22	0.96	0.89	0.42	0.22	0.29	0.58
0.1	0.5	0.1	20	25	589	39	13	0.28	0.96	0.89	0.44	0.28	0.34	0.56
0.1	0.5	0.2	24	30	584	39	9	0.33	0.95	0.89	0.44	0.33	0.38	0.56
0.1	0.5	0.3	25	34	580	39	8	0.35	0.94	0.88	0.42	0.35	0.38	0.58
0.1	0.5	0.4	25	37	577	39	8	0.35	0.94	0.88	0.4	0.35	0.37	0.6
0.1	0.5	0.5	26	39	575	39	7	0.36	0.94	0.88	0.4	0.36	0.38	0.6
0.1	0.5	0.6	30	42	572	39	3	0.42	0.93	0.88	0.42	0.42	0.42	0.58
0.1	0.5	0.7	32	43	571	39	1	0.44	0.93	0.88	0.43	0.44	0.43	0.57
0.1	0.5	0.8	33	44	570	39	0	0.46	0.93	0.88	0.43	0.46	0.44	0.57
0.1	0.5	0.9	33	49	565	39	0	0.46	0.92	0.87	0.4	0.46	0.43	0.6
0.1	0.5	1.0	33	52	562	39	0	0.46	0.92	0.87	0.39	0.46	0.42	0.61
0.1	0.6	0.0	25	36	578	39	8	0.35	0.94	0.88	0.41	0.35	0.38	0.59
0.1	0.6	0.1	25	38	576	39	8	0.35	0.94	0.88	0.4	0.35	0.37	0.6
